observation_id,scenario,gender,age,race,disability_status,nationality,monthly_income,rental_history,employment_status,credit_check,deposit_offered,chosen
24,1,Female,45,White,None stated,Indian,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
25,1,Non-binary,30,Asian,Mental health history,Indian,2x the rent,No prior rental history,Full-time,Good,1 month deposit,1
26,1,Male,40,Hispanic,Mental health history,Indian,2x the rent,Prior late payments,Full-time,Fair,3 months deposit,0
27,1,Female,45,Hispanic,None stated,Indian,2x the rent,Prior late payments,Full-time,Excellent,1 month deposit,1
28,1,Male,45,White,Mental health history,American,4x the rent,Positive references,Part-time,Excellent,1 month deposit,1
29,1,Male,35,Black,Physical disability,American,2x the rent,Positive references,Full-time,Fair,1 month deposit,1
30,1,Non-binary,35,Asian,Physical disability,German,3x the rent,No prior rental history,Full-time,Fair,2 months deposit,1
31,1,Male,55,Hispanic,None stated,Canadian,2x the rent,Prior late payments,Self-employed,Excellent,3 months deposit,1
32,1,Male,55,White,None stated,American,2x the rent,Prior late payments,Self-employed,Excellent,2 months deposit,0
33,1,Non-binary,55,Black,Physical disability,German,2x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
34,1,Male,35,White,None stated,Indian,3x the rent,Positive references,Self-employed,Excellent,3 months deposit,1
35,1,Male,45,Black,None stated,Canadian,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
36,1,Female,35,Hispanic,Physical disability,Indian,4x the rent,No prior rental history,Self-employed,Excellent,2 months deposit,1
37,1,Male,50,Hispanic,Physical disability,Canadian,4x the rent,Prior late payments,Full-time,Excellent,1 month deposit,1
38,1,Non-binary,40,Hispanic,None stated,Indian,2x the rent,Positive references,Full-time,Good,2 months deposit,1
39,1,Female,50,White,Mental health history,Canadian,2x the rent,Prior late payments,Self-employed,Excellent,2 months deposit,0
40,1,Female,50,Asian,None stated,American,3x the rent,Positive references,Full-time,Excellent,1 month deposit,1
41,1,Male,50,Hispanic,Mental health history,American,3x the rent,Prior late payments,Self-employed,Good,3 months deposit,1
42,1,Female,50,Black,Physical disability,American,3x the rent,Positive references,Part-time,Excellent,1 month deposit,1
43,1,Non-binary,40,Black,Physical disability,Indian,4x the rent,No prior rental history,Self-employed,Excellent,2 months deposit,1
44,1,Female,45,Hispanic,Mental health history,German,4x the rent,Prior late payments,Part-time,Fair,1 month deposit,1
45,1,Male,55,Hispanic,None stated,American,2x the rent,Prior late payments,Full-time,Good,3 months deposit,1
46,1,Female,35,Black,Physical disability,Canadian,3x the rent,Prior late payments,Self-employed,Excellent,1 month deposit,0
47,1,Female,45,Asian,None stated,German,3x the rent,Positive references,Part-time,Good,3 months deposit,1
48,1,Male,45,Asian,None stated,Indian,2x the rent,Prior late payments,Self-employed,Excellent,1 month deposit,0
49,1,Non-binary,40,Hispanic,Mental health history,Mexican,2x the rent,No prior rental history,Part-time,Fair,1 month deposit,0
50,1,Non-binary,45,Asian,None stated,German,2x the rent,Positive references,Part-time,Excellent,1 month deposit,1
51,1,Non-binary,30,Hispanic,Physical disability,Mexican,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,1
52,1,Male,40,White,Mental health history,American,4x the rent,Prior late payments,Self-employed,Excellent,1 month deposit,1
53,1,Female,35,Asian,Mental health history,Indian,2x the rent,Positive references,Part-time,Good,3 months deposit,1
54,1,Female,40,Asian,Mental health history,German,2x the rent,Prior late payments,Self-employed,Fair,3 months deposit,0
55,1,Female,55,Hispanic,Physical disability,German,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,0
56,1,Male,45,White,Mental health history,Mexican,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
57,1,Female,45,White,None stated,German,4x the rent,Prior late payments,Full-time,Excellent,2 months deposit,1
58,1,Female,35,Asian,Mental health history,Indian,2x the rent,No prior rental history,Part-time,Excellent,2 months deposit,1
59,1,Female,35,Black,None stated,Mexican,2x the rent,Prior late payments,Part-time,Good,1 month deposit,0
60,1,Non-binary,30,Hispanic,Physical disability,German,2x the rent,Positive references,Self-employed,Fair,2 months deposit,1
61,1,Male,55,Asian,Physical disability,Indian,3x the rent,Prior late payments,Full-time,Fair,2 months deposit,0
62,1,Non-binary,50,White,Physical disability,Indian,3x the rent,Prior late payments,Self-employed,Fair,3 months deposit,1
63,1,Female,30,Hispanic,None stated,Mexican,3x the rent,Positive references,Part-time,Fair,1 month deposit,1
64,1,Female,45,Black,None stated,Mexican,4x the rent,Prior late payments,Full-time,Fair,1 month deposit,0
65,1,Non-binary,35,White,Mental health history,Canadian,3x the rent,No prior rental history,Part-time,Fair,2 months deposit,0
66,1,Female,50,Hispanic,None stated,German,2x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
67,1,Non-binary,40,White,Physical disability,German,2x the rent,Positive references,Part-time,Good,3 months deposit,1
68,1,Male,35,White,Mental health history,Canadian,4x the rent,Prior late payments,Self-employed,Good,1 month deposit,0
69,1,Female,40,White,Physical disability,Indian,4x the rent,No prior rental history,Part-time,Good,1 month deposit,1
70,1,Non-binary,35,Asian,None stated,Indian,3x the rent,No prior rental history,Part-time,Excellent,1 month deposit,0
71,1,Male,40,White,Mental health history,Indian,2x the rent,No prior rental history,Self-employed,Fair,3 months deposit,0
72,1,Non-binary,30,Hispanic,None stated,Canadian,3x the rent,No prior rental history,Full-time,Good,1 month deposit,1
73,1,Non-binary,30,Hispanic,None stated,American,3x the rent,Prior late payments,Self-employed,Fair,1 month deposit,0
74,1,Male,55,Hispanic,None stated,American,4x the rent,Positive references,Full-time,Excellent,1 month deposit,1
75,1,Female,55,Asian,None stated,Canadian,3x the rent,No prior rental history,Self-employed,Good,2 months deposit,1
76,1,Male,55,Asian,Physical disability,American,2x the rent,Positive references,Part-time,Fair,1 month deposit,1
77,1,Female,50,White,None stated,Indian,3x the rent,Prior late payments,Full-time,Fair,2 months deposit,0
78,1,Non-binary,35,Black,Mental health history,German,4x the rent,Prior late payments,Full-time,Good,2 months deposit,0
79,1,Female,55,White,None stated,German,3x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
80,1,Male,50,Hispanic,None stated,German,3x the rent,Prior late payments,Part-time,Fair,2 months deposit,0
81,1,Male,30,Hispanic,None stated,Canadian,3x the rent,Prior late payments,Full-time,Excellent,3 months deposit,0
82,1,Non-binary,30,Asian,Mental health history,German,2x the rent,No prior rental history,Full-time,Good,3 months deposit,1
83,1,Non-binary,55,Hispanic,Physical disability,Indian,3x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
84,1,Non-binary,30,Black,None stated,Mexican,2x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
85,1,Non-binary,55,Hispanic,Physical disability,Indian,4x the rent,No prior rental history,Self-employed,Good,2 months deposit,0
86,1,Female,45,White,Mental health history,Indian,2x the rent,No prior rental history,Self-employed,Excellent,2 months deposit,1
87,1,Female,50,Black,None stated,Indian,4x the rent,No prior rental history,Part-time,Fair,3 months deposit,1
88,1,Non-binary,45,Hispanic,Physical disability,American,3x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
89,1,Male,30,Black,Physical disability,Indian,3x the rent,No prior rental history,Part-time,Fair,3 months deposit,0
90,1,Non-binary,35,Black,Physical disability,American,3x the rent,Positive references,Full-time,Excellent,3 months deposit,1
91,1,Female,35,Black,Mental health history,Indian,3x the rent,No prior rental history,Self-employed,Fair,1 month deposit,0
92,1,Non-binary,35,White,None stated,Canadian,2x the rent,No prior rental history,Part-time,Good,2 months deposit,1
93,1,Female,40,Asian,Physical disability,American,2x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
94,1,Male,50,Asian,None stated,German,2x the rent,Prior late payments,Full-time,Good,2 months deposit,1
95,1,Female,30,Black,Physical disability,Indian,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,0
96,1,Non-binary,55,Hispanic,Mental health history,German,4x the rent,Prior late payments,Part-time,Fair,2 months deposit,0
97,1,Non-binary,50,White,Physical disability,American,4x the rent,No prior rental history,Part-time,Fair,1 month deposit,1
98,1,Male,50,White,Physical disability,American,3x the rent,Positive references,Part-time,Good,1 month deposit,1
99,1,Non-binary,55,Black,Mental health history,American,2x the rent,Positive references,Full-time,Excellent,3 months deposit,1
100,1,Female,55,Black,Mental health history,German,3x the rent,Positive references,Full-time,Fair,1 month deposit,1
101,1,Male,45,Hispanic,None stated,Indian,4x the rent,Positive references,Part-time,Fair,1 month deposit,1
102,1,Male,50,White,Physical disability,American,2x the rent,Prior late payments,Part-time,Excellent,3 months deposit,0
103,1,Female,35,White,Physical disability,Indian,3x the rent,No prior rental history,Full-time,Excellent,2 months deposit,1
104,1,Female,35,Hispanic,None stated,Indian,4x the rent,No prior rental history,Part-time,Fair,1 month deposit,0
105,1,Non-binary,30,Hispanic,Physical disability,American,3x the rent,No prior rental history,Full-time,Good,2 months deposit,1
106,1,Male,30,Black,Physical disability,German,3x the rent,No prior rental history,Full-time,Excellent,1 month deposit,1
107,1,Male,45,Asian,None stated,American,2x the rent,No prior rental history,Self-employed,Fair,2 months deposit,0
108,1,Male,40,Asian,Mental health history,Mexican,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,0
109,1,Female,50,Black,None stated,American,4x the rent,Positive references,Full-time,Excellent,3 months deposit,1
110,1,Non-binary,30,Asian,Mental health history,Indian,4x the rent,Positive references,Part-time,Fair,1 month deposit,1
111,1,Male,55,Black,Physical disability,German,4x the rent,Positive references,Self-employed,Good,3 months deposit,1
112,1,Non-binary,35,Asian,Mental health history,Indian,3x the rent,No prior rental history,Self-employed,Fair,1 month deposit,0
113,1,Male,35,Asian,Physical disability,Canadian,3x the rent,Prior late payments,Self-employed,Fair,1 month deposit,0
114,1,Male,40,Asian,Mental health history,German,3x the rent,No prior rental history,Self-employed,Good,3 months deposit,1
115,1,Female,50,White,Mental health history,American,3x the rent,Positive references,Self-employed,Fair,2 months deposit,1
116,1,Male,45,Black,None stated,Indian,4x the rent,No prior rental history,Self-employed,Excellent,3 months deposit,1
117,1,Non-binary,45,Hispanic,Physical disability,Mexican,4x the rent,No prior rental history,Part-time,Excellent,3 months deposit,1
118,1,Female,30,Black,Mental health history,Mexican,4x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
119,1,Non-binary,35,Hispanic,None stated,Canadian,4x the rent,Prior late payments,Self-employed,Good,3 months deposit,1
120,1,Female,45,Hispanic,Physical disability,German,3x the rent,Positive references,Self-employed,Fair,3 months deposit,1
121,1,Female,30,White,None stated,Canadian,2x the rent,Prior late payments,Full-time,Excellent,2 months deposit,1
122,1,Female,55,Asian,None stated,American,2x the rent,Positive references,Self-employed,Good,2 months deposit,1
123,1,Non-binary,50,Hispanic,Physical disability,American,2x the rent,Positive references,Self-employed,Excellent,3 months deposit,1
124,1,Female,45,Asian,Mental health history,Mexican,2x the rent,No prior rental history,Self-employed,Good,1 month deposit,1
125,1,Male,50,White,Physical disability,Mexican,4x the rent,Prior late payments,Part-time,Good,2 months deposit,0
126,1,Non-binary,40,Black,None stated,American,4x the rent,Prior late payments,Part-time,Excellent,2 months deposit,1
127,1,Female,30,Hispanic,None stated,Canadian,3x the rent,Positive references,Full-time,Good,3 months deposit,1
128,1,Female,40,Asian,Mental health history,Indian,2x the rent,Prior late payments,Part-time,Fair,1 month deposit,0
129,1,Non-binary,40,White,Mental health history,German,2x the rent,Positive references,Self-employed,Fair,3 months deposit,1
130,1,Non-binary,35,Asian,None stated,Indian,4x the rent,Positive references,Full-time,Good,2 months deposit,1
131,1,Non-binary,40,Hispanic,Physical disability,Mexican,3x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
132,1,Male,35,Black,Physical disability,Indian,4x the rent,Prior late payments,Part-time,Fair,1 month deposit,0
133,1,Male,35,White,Physical disability,Mexican,3x the rent,Prior late payments,Self-employed,Good,2 months deposit,0
134,1,Non-binary,50,Asian,Mental health history,Canadian,3x the rent,Prior late payments,Self-employed,Fair,2 months deposit,0
135,1,Non-binary,40,Hispanic,Physical disability,German,2x the rent,Prior late payments,Full-time,Good,1 month deposit,0
136,1,Female,45,Asian,Physical disability,Canadian,4x the rent,Prior late payments,Full-time,Excellent,2 months deposit,0
137,1,Female,30,White,Physical disability,Canadian,2x the rent,No prior rental history,Self-employed,Good,1 month deposit,1
138,1,Non-binary,50,Black,Physical disability,German,2x the rent,Positive references,Full-time,Excellent,1 month deposit,1
139,1,Non-binary,50,Hispanic,None stated,Indian,2x the rent,Positive references,Part-time,Fair,1 month deposit,1
140,1,Non-binary,45,Hispanic,None stated,Canadian,3x the rent,Positive references,Part-time,Excellent,1 month deposit,1
141,1,Non-binary,40,Black,None stated,Canadian,4x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
142,1,Non-binary,55,White,Mental health history,Indian,4x the rent,No prior rental history,Part-time,Good,2 months deposit,1
143,1,Female,45,Hispanic,Physical disability,Mexican,4x the rent,Positive references,Self-employed,Good,3 months deposit,1
144,1,Female,55,Black,Physical disability,American,4x the rent,Positive references,Full-time,Fair,3 months deposit,1
145,1,Non-binary,50,White,None stated,German,2x the rent,Positive references,Part-time,Fair,1 month deposit,1
146,1,Female,55,Black,Physical disability,Mexican,3x the rent,Prior late payments,Full-time,Excellent,2 months deposit,1
147,1,Female,45,Hispanic,None stated,Mexican,2x the rent,Positive references,Self-employed,Fair,1 month deposit,1
148,1,Non-binary,50,Black,None stated,Indian,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
149,1,Male,45,Asian,Mental health history,American,2x the rent,Positive references,Part-time,Excellent,3 months deposit,1
150,1,Female,35,White,Mental health history,Canadian,4x the rent,Positive references,Full-time,Excellent,3 months deposit,1
151,1,Male,45,Hispanic,Physical disability,Indian,4x the rent,Positive references,Full-time,Fair,3 months deposit,1
152,1,Non-binary,30,White,None stated,Indian,2x the rent,Prior late payments,Self-employed,Good,1 month deposit,0
153,1,Male,50,Hispanic,Mental health history,German,4x the rent,Positive references,Part-time,Fair,3 months deposit,1
154,1,Female,35,Asian,Mental health history,Canadian,2x the rent,Prior late payments,Full-time,Good,1 month deposit,1
155,1,Female,40,White,Mental health history,Canadian,3x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
156,1,Female,35,Black,Mental health history,American,4x the rent,Prior late payments,Part-time,Good,1 month deposit,1
157,1,Female,55,White,Physical disability,Mexican,4x the rent,No prior rental history,Part-time,Good,1 month deposit,1
158,1,Female,35,Hispanic,None stated,Mexican,2x the rent,Positive references,Self-employed,Good,3 months deposit,1
159,1,Male,45,Asian,Mental health history,Mexican,4x the rent,Positive references,Full-time,Fair,3 months deposit,1
160,1,Female,30,White,Physical disability,German,2x the rent,Prior late payments,Self-employed,Fair,3 months deposit,0
161,1,Female,55,Black,Physical disability,Canadian,4x the rent,No prior rental history,Self-employed,Fair,2 months deposit,1
162,1,Male,55,Black,Physical disability,Indian,2x the rent,No prior rental history,Self-employed,Good,3 months deposit,1
163,1,Female,50,Hispanic,Mental health history,American,4x the rent,No prior rental history,Full-time,Fair,2 months deposit,0
164,1,Non-binary,30,Black,Mental health history,Mexican,3x the rent,No prior rental history,Full-time,Fair,1 month deposit,1
165,1,Non-binary,35,White,None stated,American,2x the rent,Prior late payments,Full-time,Good,2 months deposit,0
166,1,Female,40,White,Mental health history,Mexican,2x the rent,No prior rental history,Self-employed,Good,3 months deposit,0
167,1,Female,55,Hispanic,None stated,German,4x the rent,No prior rental history,Full-time,Excellent,1 month deposit,1
168,1,Non-binary,55,Asian,Physical disability,American,3x the rent,Positive references,Part-time,Good,1 month deposit,1
169,1,Male,45,Asian,Mental health history,Mexican,3x the rent,No prior rental history,Full-time,Excellent,2 months deposit,1
170,1,Non-binary,50,Hispanic,Physical disability,Canadian,3x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
171,1,Male,30,White,None stated,German,2x the rent,Positive references,Full-time,Good,1 month deposit,1
172,1,Non-binary,30,Black,Mental health history,American,3x the rent,No prior rental history,Full-time,Excellent,1 month deposit,1
173,1,Male,50,Asian,Mental health history,American,2x the rent,No prior rental history,Self-employed,Good,1 month deposit,1
174,1,Non-binary,40,Hispanic,None stated,Canadian,4x the rent,Positive references,Full-time,Fair,2 months deposit,1
175,1,Female,35,Asian,Physical disability,Canadian,3x the rent,Prior late payments,Self-employed,Fair,1 month deposit,0
176,1,Non-binary,50,Black,Mental health history,Indian,4x the rent,Prior late payments,Self-employed,Excellent,1 month deposit,1
177,1,Male,45,Black,Mental health history,Canadian,3x the rent,Positive references,Full-time,Good,3 months deposit,1
178,1,Female,45,Black,Physical disability,Mexican,4x the rent,Positive references,Full-time,Fair,2 months deposit,1
179,1,Non-binary,55,Hispanic,None stated,Canadian,2x the rent,No prior rental history,Part-time,Fair,1 month deposit,0
180,1,Non-binary,50,Hispanic,None stated,German,4x the rent,Prior late payments,Full-time,Fair,2 months deposit,1
181,1,Male,30,White,None stated,Indian,2x the rent,No prior rental history,Full-time,Fair,3 months deposit,1
182,1,Male,35,Black,Physical disability,American,2x the rent,Positive references,Full-time,Excellent,1 month deposit,1
183,1,Non-binary,40,Asian,Mental health history,Canadian,3x the rent,Positive references,Self-employed,Fair,1 month deposit,1
184,1,Female,45,Black,Physical disability,German,3x the rent,Positive references,Full-time,Excellent,1 month deposit,1
185,1,Non-binary,30,Black,Mental health history,American,2x the rent,No prior rental history,Full-time,Good,3 months deposit,1
186,1,Female,35,Hispanic,None stated,Mexican,2x the rent,Prior late payments,Full-time,Fair,1 month deposit,0
187,1,Non-binary,30,Hispanic,Physical disability,Mexican,4x the rent,Positive references,Self-employed,Fair,3 months deposit,1
188,1,Non-binary,50,Black,Mental health history,Indian,2x the rent,No prior rental history,Full-time,Good,2 months deposit,1
189,1,Non-binary,45,Asian,Mental health history,Mexican,3x the rent,Positive references,Full-time,Excellent,1 month deposit,1
190,1,Non-binary,30,Black,None stated,Canadian,3x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
191,1,Male,35,Hispanic,Mental health history,Indian,3x the rent,Prior late payments,Full-time,Fair,3 months deposit,0
192,1,Female,30,White,Physical disability,Mexican,3x the rent,No prior rental history,Self-employed,Fair,1 month deposit,0
193,1,Male,50,White,None stated,German,2x the rent,Positive references,Self-employed,Fair,3 months deposit,1
194,1,Female,45,Black,None stated,Mexican,2x the rent,No prior rental history,Full-time,Fair,2 months deposit,1
195,1,Non-binary,55,Asian,Physical disability,Indian,4x the rent,Prior late payments,Self-employed,Good,2 months deposit,1
196,1,Female,40,Hispanic,None stated,Mexican,2x the rent,Positive references,Part-time,Good,2 months deposit,1
197,1,Female,45,Asian,Physical disability,Mexican,4x the rent,No prior rental history,Full-time,Fair,2 months deposit,1
198,1,Female,30,Asian,Physical disability,Indian,4x the rent,No prior rental history,Full-time,Fair,1 month deposit,1
199,1,Female,45,Asian,Physical disability,American,4x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
200,1,Female,40,Black,Physical disability,Canadian,4x the rent,No prior rental history,Self-employed,Good,3 months deposit,1
201,1,Non-binary,50,White,None stated,American,2x the rent,Positive references,Full-time,Fair,3 months deposit,1
202,1,Non-binary,30,Hispanic,Mental health history,American,2x the rent,Positive references,Self-employed,Fair,2 months deposit,1
203,1,Non-binary,30,Black,None stated,American,2x the rent,Prior late payments,Self-employed,Good,2 months deposit,0
204,1,Female,55,Asian,Mental health history,Indian,2x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
205,1,Non-binary,30,Hispanic,Mental health history,German,4x the rent,Prior late payments,Part-time,Fair,1 month deposit,0
206,1,Male,50,Hispanic,Mental health history,Canadian,4x the rent,Prior late payments,Full-time,Good,2 months deposit,1
207,1,Female,45,Hispanic,None stated,Indian,3x the rent,Positive references,Part-time,Fair,2 months deposit,1
208,1,Female,40,Hispanic,Mental health history,Canadian,2x the rent,Positive references,Full-time,Fair,1 month deposit,1
209,1,Male,50,White,Mental health history,Indian,4x the rent,Prior late payments,Self-employed,Fair,3 months deposit,0
210,1,Non-binary,50,Asian,Mental health history,Canadian,2x the rent,No prior rental history,Full-time,Fair,2 months deposit,1
211,1,Non-binary,45,Black,Physical disability,Indian,2x the rent,Positive references,Part-time,Good,3 months deposit,1
212,1,Male,55,White,None stated,Indian,2x the rent,No prior rental history,Part-time,Excellent,2 months deposit,1
213,1,Non-binary,45,Black,Mental health history,American,2x the rent,Positive references,Self-employed,Fair,2 months deposit,1
214,1,Non-binary,45,Black,None stated,German,3x the rent,No prior rental history,Self-employed,Good,2 months deposit,1
215,1,Non-binary,40,Black,Mental health history,Indian,4x the rent,No prior rental history,Full-time,Good,1 month deposit,1
216,1,Female,55,Black,Physical disability,Mexican,3x the rent,No prior rental history,Self-employed,Excellent,1 month deposit,1
217,1,Female,40,Asian,Physical disability,Mexican,4x the rent,Prior late payments,Self-employed,Excellent,3 months deposit,0
218,1,Non-binary,30,White,None stated,Indian,3x the rent,Positive references,Self-employed,Excellent,1 month deposit,1
219,1,Female,55,Black,None stated,American,3x the rent,Positive references,Full-time,Good,1 month deposit,1
220,1,Female,40,Asian,Physical disability,Canadian,3x the rent,No prior rental history,Self-employed,Good,3 months deposit,1
221,1,Male,45,Asian,Mental health history,Mexican,4x the rent,Positive references,Self-employed,Excellent,2 months deposit,1
222,1,Female,50,Hispanic,Physical disability,Canadian,2x the rent,Positive references,Full-time,Good,1 month deposit,1
223,1,Female,50,Black,None stated,Canadian,2x the rent,Prior late payments,Full-time,Excellent,1 month deposit,0
224,1,Non-binary,40,Asian,None stated,Mexican,2x the rent,Positive references,Part-time,Fair,2 months deposit,1
225,1,Female,55,Hispanic,Mental health history,German,3x the rent,Positive references,Full-time,Fair,1 month deposit,1
226,1,Male,35,Asian,Mental health history,German,2x the rent,No prior rental history,Full-time,Good,2 months deposit,0
227,1,Non-binary,40,Asian,Mental health history,Indian,3x the rent,Prior late payments,Self-employed,Fair,3 months deposit,0
228,1,Non-binary,45,White,Mental health history,Indian,2x the rent,Positive references,Part-time,Good,1 month deposit,1
229,1,Female,40,White,None stated,Mexican,4x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
230,1,Female,30,Hispanic,Mental health history,German,4x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
231,1,Male,50,Hispanic,Physical disability,German,4x the rent,No prior rental history,Part-time,Good,1 month deposit,1
232,1,Male,35,Black,None stated,Indian,2x the rent,No prior rental history,Part-time,Good,1 month deposit,1
233,1,Female,45,White,Physical disability,American,3x the rent,Positive references,Full-time,Excellent,2 months deposit,1
234,1,Female,30,White,Physical disability,Indian,4x the rent,Positive references,Self-employed,Good,3 months deposit,1
235,1,Non-binary,45,Hispanic,Physical disability,Canadian,2x the rent,Prior late payments,Part-time,Good,1 month deposit,0
236,1,Male,45,Hispanic,Physical disability,American,3x the rent,Prior late payments,Self-employed,Fair,2 months deposit,0
237,1,Non-binary,50,Asian,None stated,Canadian,3x the rent,Prior late payments,Full-time,Good,3 months deposit,1
238,1,Non-binary,40,Asian,None stated,Mexican,2x the rent,Prior late payments,Self-employed,Good,2 months deposit,1
239,1,Female,40,Hispanic,Physical disability,German,2x the rent,Prior late payments,Self-employed,Fair,3 months deposit,0
240,1,Non-binary,35,White,Mental health history,Mexican,3x the rent,Prior late payments,Part-time,Fair,3 months deposit,0
241,1,Female,45,White,None stated,American,2x the rent,Positive references,Part-time,Fair,3 months deposit,1
242,1,Female,40,Hispanic,Physical disability,American,3x the rent,Prior late payments,Self-employed,Excellent,1 month deposit,0
243,1,Female,35,Black,None stated,Mexican,3x the rent,No prior rental history,Full-time,Excellent,3 months deposit,1
244,1,Non-binary,30,White,Physical disability,American,3x the rent,Positive references,Full-time,Excellent,1 month deposit,1
245,1,Non-binary,35,White,Mental health history,Indian,4x the rent,No prior rental history,Part-time,Excellent,3 months deposit,1
246,1,Female,35,Black,None stated,Indian,4x the rent,No prior rental history,Part-time,Good,2 months deposit,0
247,1,Female,45,Black,None stated,Indian,3x the rent,No prior rental history,Self-employed,Fair,2 months deposit,1
248,1,Non-binary,35,Black,Physical disability,German,4x the rent,No prior rental history,Full-time,Fair,2 months deposit,0
249,1,Male,30,Black,Mental health history,Canadian,4x the rent,No prior rental history,Part-time,Fair,3 months deposit,0
250,1,Male,50,Hispanic,Physical disability,Indian,4x the rent,Prior late payments,Full-time,Excellent,2 months deposit,0
251,1,Non-binary,35,White,None stated,Mexican,4x the rent,Positive references,Full-time,Good,1 month deposit,1
252,1,Male,40,Hispanic,Mental health history,German,2x the rent,Positive references,Full-time,Excellent,1 month deposit,1
253,1,Male,40,White,None stated,American,2x the rent,No prior rental history,Part-time,Good,3 months deposit,0
254,1,Female,50,Asian,None stated,Mexican,2x the rent,Positive references,Self-employed,Good,2 months deposit,1
255,1,Female,40,Black,Mental health history,German,3x the rent,No prior rental history,Self-employed,Fair,3 months deposit,1
256,1,Male,35,Hispanic,Physical disability,Indian,4x the rent,No prior rental history,Full-time,Fair,1 month deposit,0
257,1,Female,30,White,Mental health history,German,3x the rent,Prior late payments,Self-employed,Excellent,2 months deposit,1
258,1,Non-binary,50,Hispanic,Physical disability,Canadian,3x the rent,No prior rental history,Part-time,Excellent,1 month deposit,1
259,1,Female,35,Hispanic,None stated,German,3x the rent,Prior late payments,Self-employed,Good,3 months deposit,0
