observation_id,scenario,gender,age,race,disability_status,nationality,education,field_of_study,cover_letter,recommendations,experience,chosen
93,1,Male,40,Asian,Mental health history,Canadian,Bachelor Degree,Closely related,Unpersonalized,Average,0-2 years,0
94,1,Female,40,Hispanic,Physical disability,Indian,Bachelor Degree,Unrelated,Personalized,Average,3-7 years,0
95,1,Female,45,White,Physical disability,Mexican,Master Degree,Closely related,Unpersonalized,Average,0-2 years,0
96,1,Male,40,Black,None stated,Indian,Master Degree,Closely related,Unpersonalized,Below average,10+ years,0
97,1,Male,40,Asian,Physical disability,German,Master Degree,Closely related,Personalized,Below average,10+ years,1
98,1,Non-binary,50,Black,Physical disability,Mexican,Associate Degree,Unrelated,Unpersonalized,Above average,10+ years,0
99,1,Female,50,Hispanic,None stated,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Average,3-7 years,0
100,1,Male,35,Asian,Mental health history,Mexican,Bachelor Degree,Closely related,Personalized,Below average,10+ years,1
101,1,Female,30,Black,None stated,Mexican,Associate Degree,Somewhat related,Personalized,Below average,10+ years,1
102,1,Male,35,Black,None stated,German,Master Degree,Unrelated,Personalized,Above average,10+ years,1
103,1,Non-binary,40,White,Physical disability,German,Bachelor Degree,Somewhat related,Unpersonalized,Average,3-7 years,0
104,1,Female,30,White,Mental health history,German,Master Degree,Unrelated,Personalized,Average,10+ years,1
105,1,Female,30,White,Mental health history,German,Associate Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
106,1,Non-binary,40,Asian,Physical disability,Indian,Associate Degree,Closely related,Personalized,Average,10+ years,1
107,1,Non-binary,30,White,Physical disability,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
108,1,Non-binary,40,Black,Physical disability,Mexican,Master Degree,Somewhat related,Personalized,Average,3-7 years,1
109,1,Non-binary,30,Black,None stated,Indian,Bachelor Degree,Unrelated,Personalized,Average,10+ years,1
110,1,Non-binary,50,Hispanic,Physical disability,German,Associate Degree,Closely related,Personalized,Above average,10+ years,1
111,1,Female,45,Black,Mental health history,German,Bachelor Degree,Unrelated,Unpersonalized,Average,0-2 years,0
112,1,Non-binary,50,Hispanic,Mental health history,Canadian,Master Degree,Somewhat related,Personalized,Above average,10+ years,1
113,1,Male,30,Black,Physical disability,Mexican,Master Degree,Somewhat related,Unpersonalized,Below average,10+ years,0
114,1,Non-binary,30,White,None stated,German,Associate Degree,Unrelated,Personalized,Average,10+ years,1
115,1,Male,35,Asian,Mental health history,American,Master Degree,Unrelated,Unpersonalized,Average,0-2 years,0
116,1,Non-binary,45,Asian,Physical disability,Mexican,Master Degree,Closely related,Unpersonalized,Above average,10+ years,1
117,1,Female,30,Black,Mental health history,Canadian,Master Degree,Somewhat related,Personalized,Average,3-7 years,1
118,1,Non-binary,35,Black,Mental health history,American,Associate Degree,Somewhat related,Personalized,Below average,3-7 years,1
119,1,Non-binary,45,Hispanic,None stated,Mexican,Bachelor Degree,Closely related,Unpersonalized,Average,0-2 years,0
120,1,Non-binary,35,White,Mental health history,American,Bachelor Degree,Unrelated,Unpersonalized,Below average,0-2 years,0
121,1,Non-binary,45,Hispanic,Physical disability,Indian,Bachelor Degree,Somewhat related,Personalized,Average,0-2 years,0
122,1,Male,50,White,Physical disability,German,Bachelor Degree,Somewhat related,Personalized,Above average,10+ years,1
123,1,Male,50,White,Mental health history,Indian,Master Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
124,1,Female,55,White,Physical disability,Mexican,Bachelor Degree,Unrelated,Personalized,Below average,10+ years,0
125,1,Non-binary,50,Hispanic,Physical disability,German,Associate Degree,Unrelated,Unpersonalized,Average,3-7 years,0
126,1,Female,30,White,None stated,Mexican,Associate Degree,Closely related,Unpersonalized,Above average,3-7 years,0
127,1,Female,40,Asian,None stated,Mexican,Master Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
128,1,Male,30,White,None stated,Mexican,Master Degree,Closely related,Unpersonalized,Below average,10+ years,1
129,1,Male,40,Asian,None stated,Canadian,Bachelor Degree,Unrelated,Personalized,Average,10+ years,1
130,1,Non-binary,45,Asian,Mental health history,German,Master Degree,Unrelated,Personalized,Average,3-7 years,0
131,1,Female,35,Black,Mental health history,Indian,Bachelor Degree,Somewhat related,Personalized,Above average,3-7 years,1
132,1,Non-binary,45,Black,Physical disability,Mexican,Bachelor Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
133,1,Male,55,White,Mental health history,German,Associate Degree,Closely related,Personalized,Below average,3-7 years,0
134,1,Female,50,Asian,None stated,Mexican,Associate Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
135,1,Male,45,Hispanic,None stated,Indian,Bachelor Degree,Somewhat related,Personalized,Below average,3-7 years,0
136,1,Female,40,Black,Mental health history,German,Master Degree,Unrelated,Unpersonalized,Below average,10+ years,0
137,1,Non-binary,35,Asian,Mental health history,American,Associate Degree,Unrelated,Unpersonalized,Average,0-2 years,0
138,1,Male,35,White,None stated,Canadian,Bachelor Degree,Unrelated,Personalized,Average,0-2 years,0
139,1,Male,45,Hispanic,Physical disability,German,Associate Degree,Somewhat related,Personalized,Below average,10+ years,0
140,1,Male,55,White,None stated,Mexican,Master Degree,Unrelated,Personalized,Above average,10+ years,1
141,1,Female,30,Black,None stated,Mexican,Master Degree,Somewhat related,Personalized,Below average,3-7 years,0
142,1,Female,30,Asian,Physical disability,Indian,Bachelor Degree,Unrelated,Unpersonalized,Average,10+ years,0
143,1,Non-binary,55,White,Mental health history,American,Master Degree,Somewhat related,Unpersonalized,Above average,10+ years,1
144,1,Non-binary,35,Black,None stated,Indian,Associate Degree,Unrelated,Personalized,Below average,3-7 years,0
145,1,Non-binary,40,Asian,None stated,German,Bachelor Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
146,1,Non-binary,30,White,None stated,German,Master Degree,Unrelated,Personalized,Above average,0-2 years,1
147,1,Male,30,Black,None stated,American,Bachelor Degree,Unrelated,Unpersonalized,Average,3-7 years,0
148,1,Female,55,Asian,None stated,German,Bachelor Degree,Somewhat related,Personalized,Above average,0-2 years,1
149,1,Non-binary,55,Asian,Mental health history,American,Master Degree,Closely related,Personalized,Below average,3-7 years,1
150,1,Female,40,Asian,Physical disability,German,Master Degree,Closely related,Unpersonalized,Average,10+ years,1
151,1,Non-binary,55,White,None stated,German,Associate Degree,Somewhat related,Personalized,Below average,10+ years,1
152,1,Male,40,Hispanic,None stated,Indian,Bachelor Degree,Unrelated,Unpersonalized,Average,0-2 years,0
153,1,Female,45,White,Physical disability,American,Bachelor Degree,Unrelated,Personalized,Average,0-2 years,0
154,1,Non-binary,35,Asian,None stated,Canadian,Master Degree,Somewhat related,Unpersonalized,Above average,3-7 years,1
155,1,Non-binary,40,White,None stated,German,Bachelor Degree,Unrelated,Unpersonalized,Above average,10+ years,0
156,1,Female,40,White,Mental health history,German,Master Degree,Somewhat related,Personalized,Below average,3-7 years,1
157,1,Female,55,White,None stated,German,Master Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
158,1,Female,45,Hispanic,None stated,Indian,Associate Degree,Somewhat related,Unpersonalized,Average,3-7 years,0
159,1,Female,50,Asian,Mental health history,German,Associate Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
160,1,Male,30,Black,Physical disability,Canadian,Master Degree,Somewhat related,Personalized,Above average,3-7 years,1
161,1,Female,35,Asian,Physical disability,German,Master Degree,Closely related,Unpersonalized,Above average,0-2 years,1
162,1,Female,50,White,None stated,American,Bachelor Degree,Closely related,Personalized,Above average,0-2 years,1
163,1,Female,40,White,None stated,American,Bachelor Degree,Closely related,Personalized,Above average,0-2 years,1
164,1,Female,50,Asian,Physical disability,American,Associate Degree,Somewhat related,Unpersonalized,Average,10+ years,1
165,1,Non-binary,50,Hispanic,Physical disability,American,Master Degree,Unrelated,Unpersonalized,Below average,10+ years,0
166,1,Female,30,Asian,Physical disability,Mexican,Master Degree,Somewhat related,Personalized,Above average,0-2 years,1
167,1,Non-binary,30,Asian,Physical disability,American,Bachelor Degree,Closely related,Personalized,Below average,10+ years,1
168,1,Non-binary,40,Hispanic,None stated,American,Master Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
169,1,Male,50,Hispanic,None stated,Indian,Master Degree,Somewhat related,Unpersonalized,Above average,10+ years,1
170,1,Male,45,Hispanic,Mental health history,Mexican,Bachelor Degree,Somewhat related,Personalized,Below average,0-2 years,0
171,1,Male,30,Black,None stated,American,Associate Degree,Unrelated,Unpersonalized,Average,3-7 years,0
172,1,Male,30,Black,Mental health history,German,Associate Degree,Closely related,Personalized,Average,10+ years,1
173,1,Female,35,Black,None stated,German,Bachelor Degree,Somewhat related,Personalized,Average,3-7 years,1
174,1,Male,55,Black,Mental health history,Mexican,Master Degree,Unrelated,Personalized,Below average,3-7 years,0
175,1,Male,45,Black,None stated,Indian,Bachelor Degree,Closely related,Unpersonalized,Average,10+ years,1
176,1,Male,35,White,Physical disability,Canadian,Bachelor Degree,Unrelated,Personalized,Below average,0-2 years,0
177,1,Non-binary,30,Hispanic,None stated,Indian,Associate Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
178,1,Male,45,Black,Mental health history,American,Bachelor Degree,Closely related,Unpersonalized,Below average,10+ years,1
179,1,Non-binary,40,Asian,None stated,Mexican,Associate Degree,Closely related,Personalized,Below average,10+ years,0
180,1,Male,40,Hispanic,Mental health history,German,Associate Degree,Unrelated,Unpersonalized,Average,10+ years,0
181,1,Non-binary,55,White,Physical disability,Indian,Bachelor Degree,Closely related,Unpersonalized,Above average,10+ years,1
182,1,Female,55,Asian,Mental health history,Indian,Associate Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
183,1,Female,45,Asian,Physical disability,Mexican,Bachelor Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
184,1,Female,30,Hispanic,Physical disability,Canadian,Master Degree,Closely related,Unpersonalized,Average,0-2 years,0
185,1,Male,35,White,None stated,Mexican,Master Degree,Somewhat related,Unpersonalized,Above average,10+ years,1
186,1,Non-binary,45,White,Physical disability,Indian,Bachelor Degree,Unrelated,Unpersonalized,Above average,10+ years,1
187,1,Female,50,Hispanic,None stated,Mexican,Master Degree,Unrelated,Unpersonalized,Below average,0-2 years,0
188,1,Female,55,Black,None stated,German,Associate Degree,Closely related,Personalized,Below average,0-2 years,0
189,1,Female,35,Hispanic,Mental health history,Mexican,Associate Degree,Closely related,Personalized,Above average,0-2 years,1
190,1,Male,40,Hispanic,Mental health history,American,Associate Degree,Unrelated,Personalized,Average,10+ years,0
191,1,Female,35,Black,Physical disability,American,Bachelor Degree,Somewhat related,Personalized,Average,10+ years,1
192,1,Non-binary,45,Hispanic,None stated,American,Master Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
193,1,Female,55,Black,Physical disability,Mexican,Associate Degree,Closely related,Unpersonalized,Above average,10+ years,1
194,1,Non-binary,45,Asian,Physical disability,Mexican,Master Degree,Unrelated,Personalized,Below average,3-7 years,0
195,1,Male,40,Asian,None stated,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
196,1,Female,30,White,Physical disability,Indian,Bachelor Degree,Closely related,Personalized,Below average,0-2 years,0
197,1,Female,30,Black,Mental health history,Indian,Master Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
198,1,Male,55,Hispanic,Mental health history,German,Associate Degree,Closely related,Unpersonalized,Average,10+ years,0
199,1,Female,30,Hispanic,Physical disability,Indian,Master Degree,Unrelated,Personalized,Below average,10+ years,0
200,1,Female,55,White,Mental health history,Indian,Associate Degree,Closely related,Personalized,Average,10+ years,1
201,1,Female,30,White,None stated,German,Bachelor Degree,Closely related,Personalized,Above average,0-2 years,1
202,1,Male,35,Asian,Physical disability,American,Master Degree,Closely related,Unpersonalized,Average,3-7 years,0
203,1,Male,35,Asian,None stated,Mexican,Master Degree,Unrelated,Personalized,Above average,3-7 years,1
204,1,Female,45,Black,Physical disability,Canadian,Master Degree,Somewhat related,Unpersonalized,Below average,3-7 years,0
205,1,Female,30,Black,Physical disability,German,Master Degree,Somewhat related,Personalized,Above average,0-2 years,1
206,1,Female,50,Hispanic,None stated,Indian,Associate Degree,Unrelated,Personalized,Below average,0-2 years,0
207,1,Male,30,Black,None stated,American,Bachelor Degree,Closely related,Unpersonalized,Average,3-7 years,1
208,1,Male,45,Asian,Physical disability,Mexican,Master Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
209,1,Male,40,Black,None stated,American,Associate Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
210,1,Female,35,Hispanic,Mental health history,Mexican,Bachelor Degree,Closely related,Personalized,Below average,0-2 years,0
211,1,Non-binary,50,Black,Physical disability,Canadian,Associate Degree,Closely related,Unpersonalized,Average,3-7 years,0
212,1,Non-binary,30,Asian,Physical disability,Indian,Associate Degree,Somewhat related,Personalized,Below average,3-7 years,0
213,1,Male,45,Hispanic,Physical disability,Canadian,Associate Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
214,1,Female,35,White,None stated,Canadian,Associate Degree,Unrelated,Personalized,Average,3-7 years,0
215,1,Non-binary,35,White,Physical disability,Canadian,Bachelor Degree,Somewhat related,Unpersonalized,Above average,3-7 years,1
216,1,Non-binary,40,Hispanic,Physical disability,Mexican,Bachelor Degree,Closely related,Unpersonalized,Below average,0-2 years,0
217,1,Male,30,White,Mental health history,German,Bachelor Degree,Closely related,Unpersonalized,Below average,10+ years,0
218,1,Female,55,Asian,None stated,American,Associate Degree,Somewhat related,Unpersonalized,Above average,0-2 years,0
219,1,Male,50,Asian,Physical disability,Mexican,Master Degree,Unrelated,Personalized,Below average,3-7 years,0
220,1,Non-binary,40,Black,None stated,Indian,Associate Degree,Somewhat related,Unpersonalized,Average,3-7 years,0
221,1,Female,40,Asian,Physical disability,Canadian,Associate Degree,Closely related,Personalized,Below average,10+ years,1
222,1,Female,45,White,Physical disability,German,Master Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
223,1,Non-binary,40,Black,Physical disability,German,Master Degree,Unrelated,Unpersonalized,Below average,3-7 years,0
224,1,Male,40,Hispanic,Mental health history,Mexican,Master Degree,Closely related,Unpersonalized,Above average,0-2 years,0
225,1,Female,55,White,None stated,American,Master Degree,Closely related,Personalized,Above average,0-2 years,1
226,1,Male,55,Black,Mental health history,Canadian,Bachelor Degree,Closely related,Personalized,Above average,10+ years,1
227,1,Male,45,Hispanic,Physical disability,Canadian,Associate Degree,Unrelated,Unpersonalized,Above average,0-2 years,0
228,1,Non-binary,50,Hispanic,None stated,Mexican,Bachelor Degree,Unrelated,Personalized,Below average,3-7 years,0
229,1,Female,55,Asian,Mental health history,American,Bachelor Degree,Unrelated,Personalized,Below average,3-7 years,0
230,1,Non-binary,40,Black,Mental health history,Mexican,Master Degree,Unrelated,Personalized,Above average,3-7 years,1
231,1,Non-binary,50,Hispanic,None stated,American,Master Degree,Closely related,Personalized,Above average,3-7 years,1
232,1,Female,35,White,None stated,Mexican,Master Degree,Closely related,Personalized,Above average,0-2 years,1
233,1,Non-binary,40,Hispanic,Mental health history,Canadian,Associate Degree,Unrelated,Unpersonalized,Below average,0-2 years,0
234,1,Female,30,Hispanic,Mental health history,Mexican,Associate Degree,Unrelated,Personalized,Average,0-2 years,0
235,1,Male,30,Black,Physical disability,Canadian,Bachelor Degree,Closely related,Unpersonalized,Average,0-2 years,0
236,1,Non-binary,30,Asian,Physical disability,American,Associate Degree,Closely related,Personalized,Below average,0-2 years,0
237,1,Non-binary,45,Hispanic,None stated,Mexican,Bachelor Degree,Somewhat related,Personalized,Above average,10+ years,1
238,1,Non-binary,40,Hispanic,None stated,Indian,Bachelor Degree,Somewhat related,Personalized,Below average,10+ years,1
239,1,Non-binary,40,Black,Mental health history,Canadian,Master Degree,Somewhat related,Personalized,Above average,0-2 years,1
240,1,Non-binary,45,White,None stated,Indian,Associate Degree,Somewhat related,Personalized,Below average,10+ years,1
241,1,Male,40,Hispanic,Physical disability,Indian,Bachelor Degree,Somewhat related,Unpersonalized,Below average,0-2 years,0
242,1,Female,45,White,Physical disability,Canadian,Master Degree,Closely related,Unpersonalized,Below average,10+ years,0
243,1,Male,55,White,None stated,American,Associate Degree,Unrelated,Unpersonalized,Above average,3-7 years,0
244,1,Female,35,White,None stated,Indian,Associate Degree,Somewhat related,Personalized,Below average,10+ years,1
245,1,Non-binary,30,Black,Mental health history,American,Master Degree,Somewhat related,Personalized,Above average,10+ years,1
246,1,Male,30,Hispanic,None stated,Mexican,Bachelor Degree,Somewhat related,Personalized,Below average,3-7 years,0
247,1,Female,45,Black,Mental health history,Mexican,Bachelor Degree,Closely related,Unpersonalized,Average,10+ years,0
248,1,Non-binary,45,White,Mental health history,American,Bachelor Degree,Closely related,Unpersonalized,Below average,10+ years,1
249,1,Non-binary,45,Black,Physical disability,German,Associate Degree,Somewhat related,Unpersonalized,Average,3-7 years,0
250,1,Female,50,Black,Physical disability,Mexican,Bachelor Degree,Somewhat related,Personalized,Above average,10+ years,1
251,1,Male,45,White,Physical disability,Indian,Bachelor Degree,Somewhat related,Unpersonalized,Average,0-2 years,0
252,1,Male,50,Hispanic,Physical disability,Mexican,Associate Degree,Closely related,Personalized,Above average,3-7 years,1
253,1,Female,30,White,Mental health history,Canadian,Bachelor Degree,Closely related,Unpersonalized,Above average,3-7 years,1
254,1,Female,45,Hispanic,Mental health history,Canadian,Master Degree,Somewhat related,Personalized,Below average,3-7 years,0
255,1,Non-binary,55,White,None stated,Indian,Master Degree,Unrelated,Personalized,Average,10+ years,0
256,1,Female,45,White,None stated,American,Master Degree,Closely related,Personalized,Average,0-2 years,1
257,1,Male,30,Hispanic,Mental health history,German,Master Degree,Closely related,Unpersonalized,Average,0-2 years,0
258,1,Non-binary,55,White,None stated,American,Bachelor Degree,Closely related,Personalized,Above average,0-2 years,1
