observation_id,scenario,gender,age,race,disability_status,nationality,annual_income,credit_score,employment_length,existing_debt,requested_amount,chosen
30,1,Male,35,White,Mental health history,Indian,"$140,000",Good,6+ years,Moderate,"$15,000",1
31,1,Female,40,Asian,None stated,American,"$140,000",Good,6+ years,Moderate,"$15,000",1
32,1,Female,35,Hispanic,Mental health history,American,"$35,000",Good,Less than 1 year,Low,"$30,000",1
33,1,Non-binary,45,Asian,Mental health history,German,"$140,000",Excellent,Less than 1 year,High,"$30,000",1
34,1,Female,35,Black,None stated,Canadian,"$95,000",Excellent,6+ years,Moderate,"$30,000",1
35,1,Female,55,Asian,None stated,Mexican,"$140,000",Good,Less than 1 year,Moderate,"$30,000",1
36,1,Female,50,White,None stated,Canadian,"$95,000",Excellent,2-5 years,Moderate,"$5,000",1
37,1,Female,45,Black,Physical disability,German,"$60,000",Excellent,Less than 1 year,Low,"$5,000",1
38,1,Non-binary,45,Black,Physical disability,German,"$140,000",Excellent,Less than 1 year,Moderate,"$30,000",1
39,1,Male,50,Black,None stated,American,"$35,000",Fair,Less than 1 year,Low,"$5,000",0
40,1,Male,45,Asian,Mental health history,Mexican,"$35,000",Excellent,6+ years,High,"$15,000",1
41,1,Female,30,White,Physical disability,American,"$60,000",Excellent,6+ years,Low,"$5,000",1
42,1,Female,30,White,Physical disability,American,"$95,000",Fair,Less than 1 year,Moderate,"$15,000",0
43,1,Female,55,Asian,Physical disability,Canadian,"$35,000",Fair,6+ years,High,"$15,000",0
44,1,Non-binary,45,Black,Physical disability,American,"$60,000",Fair,6+ years,High,"$30,000",0
45,1,Male,50,White,Mental health history,American,"$95,000",Fair,Less than 1 year,High,"$15,000",0
46,1,Non-binary,50,Black,Mental health history,American,"$140,000",Excellent,2-5 years,Low,"$5,000",1
47,1,Non-binary,50,White,Mental health history,German,"$60,000",Good,2-5 years,Low,"$15,000",1
48,1,Female,55,Asian,None stated,American,"$140,000",Excellent,6+ years,Low,"$15,000",1
49,1,Male,30,Hispanic,None stated,Mexican,"$60,000",Fair,2-5 years,Low,"$30,000",1
50,1,Male,45,Black,Mental health history,American,"$95,000",Good,2-5 years,Moderate,"$15,000",1
51,1,Male,30,Black,Physical disability,Mexican,"$60,000",Fair,2-5 years,Moderate,"$30,000",0
52,1,Non-binary,55,Asian,Mental health history,German,"$140,000",Good,Less than 1 year,Moderate,"$15,000",1
53,1,Female,40,Asian,Physical disability,Mexican,"$35,000",Excellent,6+ years,Low,"$15,000",1
54,1,Female,40,White,None stated,Canadian,"$95,000",Fair,6+ years,Low,"$30,000",1
55,1,Non-binary,50,White,Physical disability,Mexican,"$95,000",Good,2-5 years,Low,"$30,000",1
56,1,Female,40,Black,Mental health history,Indian,"$140,000",Good,6+ years,Low,"$5,000",1
57,1,Male,55,Hispanic,Mental health history,Canadian,"$140,000",Excellent,2-5 years,High,"$30,000",1
58,1,Male,45,Asian,Physical disability,American,"$140,000",Fair,Less than 1 year,High,"$5,000",0
59,1,Non-binary,30,Asian,Mental health history,German,"$95,000",Excellent,2-5 years,Moderate,"$15,000",1
60,1,Female,50,Black,Physical disability,Canadian,"$140,000",Excellent,Less than 1 year,Low,"$5,000",1
61,1,Male,50,Asian,None stated,Indian,"$95,000",Fair,6+ years,High,"$5,000",0
62,1,Non-binary,50,Asian,None stated,Indian,"$140,000",Excellent,6+ years,Moderate,"$30,000",1
63,1,Female,30,White,Mental health history,Mexican,"$95,000",Good,Less than 1 year,Low,"$15,000",1
64,1,Female,35,Hispanic,Physical disability,Mexican,"$35,000",Excellent,Less than 1 year,High,"$5,000",0
65,1,Male,50,Asian,None stated,Indian,"$35,000",Excellent,2-5 years,Low,"$15,000",1
66,1,Non-binary,50,White,Physical disability,Mexican,"$95,000",Excellent,2-5 years,Moderate,"$15,000",1
67,1,Non-binary,50,Hispanic,Physical disability,Indian,"$35,000",Good,Less than 1 year,High,"$30,000",0
68,1,Non-binary,30,Black,Physical disability,Indian,"$95,000",Fair,6+ years,Moderate,"$30,000",1
69,1,Female,50,Asian,None stated,Mexican,"$60,000",Good,2-5 years,High,"$5,000",0
70,1,Female,45,White,Mental health history,American,"$95,000",Good,6+ years,Moderate,"$15,000",1
71,1,Female,40,White,None stated,Mexican,"$140,000",Fair,Less than 1 year,Moderate,"$15,000",0
72,1,Male,40,Asian,None stated,Mexican,"$140,000",Excellent,Less than 1 year,Low,"$15,000",1
73,1,Male,45,White,Mental health history,Indian,"$60,000",Good,2-5 years,Moderate,"$30,000",1
74,1,Non-binary,55,Asian,Physical disability,German,"$35,000",Excellent,Less than 1 year,Low,"$5,000",1
75,1,Female,45,Black,Mental health history,German,"$35,000",Good,2-5 years,Low,"$15,000",1
76,1,Female,35,Asian,None stated,Indian,"$35,000",Excellent,2-5 years,Low,"$15,000",1
77,1,Non-binary,50,Asian,Physical disability,Mexican,"$95,000",Good,2-5 years,Low,"$5,000",1
78,1,Female,40,White,None stated,German,"$140,000",Excellent,6+ years,High,"$15,000",1
79,1,Male,50,White,Mental health history,Canadian,"$140,000",Excellent,6+ years,High,"$30,000",1
80,1,Male,55,Hispanic,Mental health history,Canadian,"$60,000",Fair,6+ years,Moderate,"$15,000",0
81,1,Non-binary,55,Hispanic,None stated,Canadian,"$60,000",Good,6+ years,High,"$30,000",1
82,1,Female,30,Black,Mental health history,Mexican,"$60,000",Good,Less than 1 year,Low,"$15,000",1
83,1,Female,40,Black,None stated,Mexican,"$35,000",Fair,6+ years,Moderate,"$30,000",0
84,1,Female,55,Black,None stated,Indian,"$60,000",Good,Less than 1 year,Moderate,"$30,000",1
85,1,Female,35,Asian,Physical disability,Indian,"$60,000",Fair,6+ years,High,"$30,000",0
86,1,Male,40,White,None stated,Canadian,"$95,000",Excellent,2-5 years,High,"$30,000",0
87,1,Male,30,Black,None stated,Indian,"$140,000",Excellent,2-5 years,Moderate,"$5,000",1
88,1,Female,55,Black,None stated,Mexican,"$35,000",Excellent,Less than 1 year,Moderate,"$15,000",0
89,1,Non-binary,55,White,Physical disability,Indian,"$60,000",Excellent,Less than 1 year,High,"$30,000",1
90,1,Male,55,Asian,None stated,German,"$95,000",Fair,2-5 years,High,"$15,000",0
91,1,Male,45,White,Physical disability,Indian,"$35,000",Excellent,2-5 years,High,"$30,000",1
92,1,Non-binary,50,White,None stated,Canadian,"$140,000",Fair,Less than 1 year,Low,"$5,000",1
93,1,Female,35,Hispanic,Mental health history,American,"$35,000",Good,Less than 1 year,Low,"$15,000",0
94,1,Non-binary,55,Hispanic,None stated,Mexican,"$95,000",Fair,Less than 1 year,Low,"$5,000",0
95,1,Non-binary,55,White,Mental health history,Canadian,"$140,000",Fair,Less than 1 year,High,"$15,000",0
96,1,Female,35,Hispanic,None stated,American,"$95,000",Excellent,6+ years,High,"$15,000",1
97,1,Male,45,White,Mental health history,German,"$140,000",Good,2-5 years,High,"$5,000",1
98,1,Female,35,White,Physical disability,Indian,"$140,000",Good,Less than 1 year,Moderate,"$30,000",1
99,1,Non-binary,55,Black,Physical disability,American,"$140,000",Fair,6+ years,Moderate,"$30,000",1
100,1,Female,55,Asian,Mental health history,Indian,"$60,000",Excellent,2-5 years,Low,"$15,000",1
101,1,Female,35,Black,None stated,German,"$35,000",Excellent,6+ years,Low,"$30,000",1
102,1,Male,50,Black,Physical disability,Mexican,"$95,000",Good,Less than 1 year,Low,"$15,000",1
103,1,Non-binary,45,White,Physical disability,Mexican,"$60,000",Excellent,2-5 years,Moderate,"$5,000",1
104,1,Male,40,Asian,None stated,Indian,"$35,000",Excellent,Less than 1 year,High,"$5,000",0
105,1,Male,50,Hispanic,Physical disability,Indian,"$140,000",Excellent,Less than 1 year,Moderate,"$15,000",1
106,1,Non-binary,30,Black,Physical disability,Indian,"$35,000",Excellent,2-5 years,Moderate,"$30,000",1
107,1,Non-binary,40,Black,None stated,Mexican,"$35,000",Fair,Less than 1 year,Low,"$15,000",0
108,1,Non-binary,50,Asian,Mental health history,German,"$35,000",Fair,2-5 years,Low,"$30,000",0
109,1,Male,40,White,Physical disability,German,"$60,000",Excellent,2-5 years,High,"$5,000",0
110,1,Female,45,Asian,Mental health history,Canadian,"$60,000",Fair,Less than 1 year,Moderate,"$5,000",0
111,1,Non-binary,35,Hispanic,None stated,American,"$60,000",Fair,6+ years,High,"$15,000",0
112,1,Female,55,Hispanic,None stated,American,"$35,000",Excellent,6+ years,High,"$5,000",1
113,1,Non-binary,40,Black,Physical disability,American,"$35,000",Good,6+ years,Low,"$30,000",1
114,1,Female,40,White,Physical disability,German,"$140,000",Excellent,Less than 1 year,Moderate,"$30,000",1
115,1,Non-binary,30,Black,Mental health history,Canadian,"$35,000",Excellent,6+ years,Moderate,"$5,000",1
116,1,Female,40,Asian,Physical disability,Canadian,"$35,000",Excellent,Less than 1 year,Moderate,"$15,000",1
117,1,Female,50,Black,Physical disability,Mexican,"$60,000",Excellent,Less than 1 year,Low,"$15,000",1
118,1,Non-binary,35,Hispanic,None stated,Mexican,"$60,000",Excellent,6+ years,High,"$30,000",1
119,1,Female,35,Hispanic,None stated,German,"$140,000",Fair,2-5 years,Moderate,"$5,000",1
120,1,Female,35,White,Mental health history,German,"$35,000",Fair,2-5 years,Moderate,"$30,000",0
121,1,Non-binary,35,Asian,Mental health history,German,"$60,000",Good,2-5 years,Moderate,"$5,000",1
122,1,Non-binary,35,Hispanic,Physical disability,Canadian,"$95,000",Excellent,Less than 1 year,Moderate,"$15,000",1
123,1,Female,40,Hispanic,None stated,German,"$95,000",Excellent,6+ years,High,"$5,000",1
124,1,Female,30,White,Physical disability,American,"$95,000",Good,2-5 years,High,"$30,000",1
125,1,Male,50,Asian,Physical disability,American,"$35,000",Fair,2-5 years,High,"$15,000",0
126,1,Female,30,Hispanic,Physical disability,German,"$35,000",Fair,2-5 years,Moderate,"$5,000",0
127,1,Non-binary,30,Asian,Physical disability,German,"$95,000",Good,Less than 1 year,Low,"$30,000",0
128,1,Non-binary,30,Hispanic,Physical disability,American,"$60,000",Fair,6+ years,Moderate,"$5,000",0
129,1,Male,45,White,Mental health history,Indian,"$60,000",Excellent,2-5 years,Low,"$5,000",1
130,1,Non-binary,55,Black,None stated,German,"$35,000",Good,6+ years,Low,"$30,000",1
131,1,Non-binary,55,Hispanic,Physical disability,Indian,"$140,000",Good,6+ years,High,"$5,000",1
132,1,Female,30,Asian,Mental health history,Mexican,"$140,000",Good,2-5 years,Moderate,"$15,000",1
133,1,Non-binary,50,White,Mental health history,Canadian,"$140,000",Good,6+ years,Low,"$30,000",1
134,1,Male,50,Asian,None stated,Mexican,"$35,000",Excellent,6+ years,High,"$5,000",0
135,1,Male,45,Asian,Mental health history,Canadian,"$95,000",Good,Less than 1 year,Low,"$5,000",1
136,1,Female,30,White,Mental health history,Mexican,"$60,000",Good,Less than 1 year,High,"$5,000",0
137,1,Male,30,Hispanic,Physical disability,Indian,"$60,000",Fair,2-5 years,Low,"$30,000",0
138,1,Female,55,Asian,Mental health history,Indian,"$95,000",Good,Less than 1 year,Moderate,"$5,000",0
139,1,Male,45,Black,Mental health history,Indian,"$35,000",Fair,Less than 1 year,High,"$30,000",0
140,1,Female,55,Hispanic,Physical disability,Indian,"$95,000",Fair,Less than 1 year,Low,"$5,000",0
141,1,Female,40,Asian,None stated,American,"$140,000",Good,2-5 years,High,"$30,000",0
142,1,Female,35,Hispanic,Physical disability,American,"$60,000",Good,6+ years,Moderate,"$15,000",1
143,1,Non-binary,30,Asian,None stated,German,"$35,000",Good,Less than 1 year,Moderate,"$5,000",0
144,1,Male,30,White,Physical disability,Mexican,"$140,000",Good,Less than 1 year,Low,"$30,000",1
145,1,Male,35,Asian,Mental health history,German,"$95,000",Good,6+ years,Moderate,"$5,000",1
146,1,Female,30,White,Mental health history,Canadian,"$140,000",Excellent,Less than 1 year,Low,"$15,000",1
147,1,Non-binary,50,Black,Mental health history,Canadian,"$95,000",Excellent,Less than 1 year,Moderate,"$30,000",1
148,1,Male,45,Hispanic,Mental health history,Canadian,"$95,000",Fair,Less than 1 year,Moderate,"$15,000",0
149,1,Non-binary,30,Asian,Mental health history,Indian,"$140,000",Good,Less than 1 year,Moderate,"$15,000",1
150,1,Male,40,White,Mental health history,Indian,"$140,000",Fair,Less than 1 year,Low,"$15,000",0
151,1,Male,30,Asian,Mental health history,Indian,"$60,000",Fair,Less than 1 year,Low,"$30,000",0
152,1,Non-binary,35,Asian,Physical disability,Canadian,"$35,000",Fair,6+ years,Moderate,"$15,000",0
153,1,Female,35,White,Physical disability,Mexican,"$35,000",Excellent,6+ years,Moderate,"$15,000",1
154,1,Female,45,Black,None stated,Canadian,"$35,000",Good,6+ years,Low,"$30,000",1
155,1,Male,50,Hispanic,None stated,Mexican,"$60,000",Fair,6+ years,High,"$30,000",0
156,1,Male,55,Asian,None stated,Canadian,"$60,000",Fair,6+ years,Low,"$5,000",1
157,1,Male,35,Hispanic,None stated,Canadian,"$140,000",Fair,2-5 years,Low,"$5,000",1
158,1,Male,45,Black,Mental health history,Mexican,"$140,000",Good,Less than 1 year,Low,"$30,000",1
159,1,Male,45,Hispanic,Physical disability,German,"$60,000",Fair,6+ years,Moderate,"$15,000",0
160,1,Female,50,Black,Physical disability,Indian,"$60,000",Good,6+ years,High,"$5,000",1
161,1,Female,35,White,Physical disability,German,"$60,000",Fair,Less than 1 year,Moderate,"$5,000",0
162,1,Female,45,Asian,None stated,German,"$35,000",Excellent,6+ years,Low,"$5,000",1
163,1,Male,30,White,Mental health history,American,"$60,000",Excellent,Less than 1 year,Moderate,"$5,000",1
164,1,Male,50,Hispanic,Physical disability,American,"$95,000",Good,Less than 1 year,Moderate,"$15,000",1
165,1,Female,50,White,None stated,Canadian,"$140,000",Good,6+ years,Low,"$15,000",1
166,1,Female,45,White,Physical disability,Indian,"$95,000",Excellent,Less than 1 year,High,"$5,000",0
167,1,Non-binary,45,White,Physical disability,Indian,"$60,000",Good,6+ years,High,"$15,000",1
168,1,Non-binary,45,Asian,None stated,German,"$35,000",Excellent,6+ years,Low,"$15,000",1
169,1,Non-binary,30,Asian,Physical disability,Indian,"$140,000",Excellent,2-5 years,Low,"$5,000",1
170,1,Male,40,White,None stated,Mexican,"$35,000",Good,6+ years,High,"$15,000",1
171,1,Non-binary,30,White,Physical disability,German,"$35,000",Good,6+ years,Low,"$5,000",1
172,1,Male,40,White,Physical disability,Canadian,"$35,000",Excellent,2-5 years,High,"$5,000",1
173,1,Female,45,Hispanic,None stated,German,"$140,000",Good,6+ years,High,"$30,000",0
174,1,Female,50,Black,Mental health history,German,"$95,000",Fair,6+ years,Moderate,"$15,000",0
175,1,Female,35,Black,None stated,Canadian,"$60,000",Fair,Less than 1 year,High,"$5,000",0
176,1,Male,55,Asian,Physical disability,German,"$95,000",Excellent,Less than 1 year,High,"$15,000",0
177,1,Non-binary,50,White,Mental health history,Canadian,"$140,000",Fair,6+ years,Moderate,"$5,000",1
178,1,Male,30,Asian,None stated,American,"$35,000",Fair,6+ years,Moderate,"$5,000",0
179,1,Non-binary,45,Hispanic,None stated,Canadian,"$140,000",Good,6+ years,High,"$5,000",1
180,1,Non-binary,35,Hispanic,Mental health history,German,"$140,000",Excellent,6+ years,Low,"$15,000",1
181,1,Non-binary,50,White,Physical disability,German,"$60,000",Fair,Less than 1 year,High,"$15,000",0
182,1,Male,40,Hispanic,Physical disability,Mexican,"$140,000",Excellent,2-5 years,High,"$30,000",1
183,1,Female,35,White,None stated,Mexican,"$140,000",Fair,Less than 1 year,High,"$15,000",0
184,1,Non-binary,45,Hispanic,Physical disability,American,"$60,000",Excellent,2-5 years,High,"$15,000",1
185,1,Female,35,Black,Mental health history,Mexican,"$35,000",Fair,2-5 years,Moderate,"$5,000",0
186,1,Non-binary,35,White,None stated,Indian,"$95,000",Fair,6+ years,Moderate,"$30,000",1
187,1,Female,30,Asian,Physical disability,Canadian,"$140,000",Good,Less than 1 year,Low,"$5,000",1
188,1,Female,55,Asian,None stated,German,"$60,000",Good,Less than 1 year,Moderate,"$5,000",1
189,1,Female,30,White,Mental health history,Canadian,"$60,000",Good,2-5 years,High,"$5,000",1
190,1,Male,45,Hispanic,Physical disability,German,"$140,000",Fair,6+ years,Moderate,"$30,000",0
191,1,Female,55,Hispanic,None stated,American,"$35,000",Fair,Less than 1 year,Moderate,"$5,000",0
192,1,Male,50,Hispanic,Mental health history,German,"$60,000",Fair,Less than 1 year,High,"$5,000",0
193,1,Male,35,Hispanic,None stated,Indian,"$140,000",Excellent,6+ years,High,"$5,000",1
194,1,Male,30,Asian,Physical disability,American,"$35,000",Excellent,6+ years,High,"$30,000",0
195,1,Non-binary,55,Hispanic,Mental health history,Canadian,"$140,000",Excellent,Less than 1 year,Low,"$5,000",1
196,1,Male,40,White,Mental health history,Mexican,"$35,000",Good,2-5 years,Low,"$5,000",1
197,1,Non-binary,45,Asian,Mental health history,Indian,"$140,000",Good,6+ years,Moderate,"$15,000",1
198,1,Male,30,Asian,Mental health history,Mexican,"$95,000",Excellent,Less than 1 year,Low,"$15,000",1
199,1,Male,40,Black,Mental health history,Indian,"$95,000",Fair,6+ years,High,"$5,000",0
200,1,Female,50,Black,Physical disability,German,"$35,000",Excellent,Less than 1 year,High,"$5,000",1
201,1,Non-binary,55,Asian,None stated,Canadian,"$140,000",Fair,6+ years,Low,"$5,000",0
202,1,Non-binary,45,Hispanic,None stated,Indian,"$35,000",Good,Less than 1 year,Low,"$15,000",0
203,1,Male,50,Hispanic,Mental health history,Mexican,"$140,000",Excellent,Less than 1 year,High,"$15,000",1
204,1,Male,45,Hispanic,Mental health history,Mexican,"$95,000",Excellent,6+ years,High,"$15,000",1
205,1,Male,35,Black,Physical disability,German,"$140,000",Good,Less than 1 year,Low,"$15,000",1
206,1,Female,40,White,None stated,German,"$140,000",Good,Less than 1 year,Moderate,"$5,000",1
207,1,Non-binary,50,White,None stated,Canadian,"$95,000",Fair,6+ years,Moderate,"$5,000",0
208,1,Non-binary,50,Hispanic,None stated,Indian,"$35,000",Good,6+ years,Low,"$15,000",1
209,1,Male,30,White,Physical disability,Canadian,"$140,000",Good,6+ years,Low,"$5,000",1
210,1,Non-binary,35,Asian,None stated,German,"$60,000",Excellent,6+ years,High,"$30,000",1
211,1,Male,55,Asian,None stated,Mexican,"$140,000",Fair,2-5 years,High,"$15,000",0
212,1,Female,55,Hispanic,Mental health history,German,"$95,000",Fair,Less than 1 year,Moderate,"$15,000",0
213,1,Non-binary,30,Asian,None stated,German,"$35,000",Excellent,2-5 years,Moderate,"$15,000",1
214,1,Male,35,Hispanic,None stated,Indian,"$95,000",Excellent,2-5 years,High,"$30,000",1
215,1,Non-binary,40,Hispanic,Mental health history,German,"$35,000",Excellent,Less than 1 year,Low,"$30,000",1
216,1,Female,55,Black,None stated,Mexican,"$140,000",Excellent,6+ years,High,"$15,000",1
217,1,Male,30,White,None stated,American,"$60,000",Good,2-5 years,High,"$30,000",0
218,1,Male,50,Black,Mental health history,Mexican,"$95,000",Fair,Less than 1 year,High,"$30,000",0
219,1,Female,55,Hispanic,Physical disability,Canadian,"$95,000",Good,Less than 1 year,High,"$5,000",1
220,1,Male,35,White,Physical disability,German,"$35,000",Excellent,6+ years,High,"$5,000",0
221,1,Female,30,Asian,Physical disability,Mexican,"$60,000",Excellent,2-5 years,High,"$30,000",1
222,1,Female,35,Black,None stated,American,"$95,000",Excellent,6+ years,High,"$5,000",1
223,1,Female,55,Hispanic,Physical disability,American,"$95,000",Good,2-5 years,Low,"$15,000",1
224,1,Non-binary,45,Black,None stated,Canadian,"$95,000",Excellent,Less than 1 year,Low,"$15,000",1
225,1,Male,40,White,Physical disability,Canadian,"$35,000",Excellent,Less than 1 year,High,"$5,000",0
226,1,Female,50,White,Physical disability,American,"$35,000",Fair,2-5 years,High,"$15,000",0
227,1,Female,45,Asian,None stated,Indian,"$140,000",Excellent,6+ years,Moderate,"$30,000",1
228,1,Female,55,Asian,Mental health history,German,"$140,000",Good,Less than 1 year,High,"$5,000",1
229,1,Non-binary,35,Black,Mental health history,Canadian,"$140,000",Excellent,2-5 years,Moderate,"$30,000",1
230,1,Female,55,Black,Physical disability,Canadian,"$95,000",Excellent,6+ years,Low,"$5,000",1
231,1,Female,30,Black,None stated,Mexican,"$60,000",Excellent,6+ years,Moderate,"$30,000",1
232,1,Female,45,Hispanic,Physical disability,German,"$140,000",Excellent,Less than 1 year,High,"$5,000",1
233,1,Female,30,White,None stated,Canadian,"$140,000",Excellent,Less than 1 year,High,"$15,000",1
234,1,Non-binary,30,Hispanic,Physical disability,American,"$95,000",Excellent,2-5 years,High,"$15,000",1
235,1,Female,40,Asian,Mental health history,Mexican,"$95,000",Good,2-5 years,High,"$15,000",1
236,1,Male,45,Black,Mental health history,Canadian,"$60,000",Fair,2-5 years,Low,"$15,000",1
237,1,Male,35,Hispanic,Physical disability,German,"$60,000",Fair,2-5 years,Moderate,"$15,000",0
238,1,Female,45,Hispanic,None stated,American,"$140,000",Good,Less than 1 year,Moderate,"$5,000",1
239,1,Non-binary,50,White,Mental health history,American,"$95,000",Fair,6+ years,High,"$30,000",0
240,1,Male,40,White,None stated,Indian,"$140,000",Fair,Less than 1 year,Moderate,"$5,000",0
241,1,Female,40,Hispanic,Mental health history,American,"$95,000",Good,Less than 1 year,High,"$15,000",0
242,1,Male,50,Asian,None stated,Canadian,"$140,000",Fair,2-5 years,Moderate,"$15,000",1
243,1,Non-binary,30,Black,Physical disability,German,"$95,000",Fair,Less than 1 year,Low,"$30,000",0
244,1,Non-binary,30,Hispanic,Physical disability,American,"$95,000",Excellent,2-5 years,High,"$5,000",1
245,1,Male,45,Asian,Mental health history,German,"$140,000",Good,6+ years,Low,"$30,000",1
246,1,Male,45,Hispanic,Mental health history,Indian,"$35,000",Excellent,Less than 1 year,Low,"$5,000",1
247,1,Female,55,Hispanic,None stated,Mexican,"$95,000",Good,Less than 1 year,High,"$5,000",0
248,1,Male,55,Asian,Mental health history,Mexican,"$95,000",Good,6+ years,Low,"$30,000",1
249,1,Male,30,Hispanic,Physical disability,German,"$60,000",Fair,6+ years,Moderate,"$5,000",1
250,1,Male,40,Black,Physical disability,Indian,"$60,000",Good,Less than 1 year,Low,"$30,000",0
251,1,Non-binary,55,Asian,Physical disability,German,"$35,000",Excellent,2-5 years,Low,"$5,000",1
252,1,Non-binary,30,White,Mental health history,Canadian,"$60,000",Good,Less than 1 year,Moderate,"$5,000",1
253,1,Male,50,Black,None stated,German,"$95,000",Good,Less than 1 year,Moderate,"$15,000",0
254,1,Female,40,Asian,Mental health history,Canadian,"$140,000",Good,2-5 years,Low,"$5,000",1
255,1,Female,45,Black,None stated,American,"$60,000",Fair,6+ years,Moderate,"$30,000",0
256,1,Non-binary,55,Hispanic,Physical disability,Canadian,"$60,000",Fair,Less than 1 year,Moderate,"$30,000",0
257,1,Non-binary,50,White,Physical disability,Canadian,"$95,000",Excellent,2-5 years,High,"$30,000",1
258,1,Male,50,Black,Physical disability,American,"$35,000",Good,6+ years,Low,"$30,000",1
259,1,Female,55,Hispanic,Physical disability,Mexican,"$95,000",Fair,6+ years,Moderate,"$5,000",0
260,1,Non-binary,55,Hispanic,None stated,Canadian,"$60,000",Good,Less than 1 year,High,"$15,000",0
261,1,Male,50,Hispanic,None stated,Indian,"$140,000",Fair,6+ years,High,"$15,000",0
262,1,Non-binary,45,White,Mental health history,German,"$60,000",Good,Less than 1 year,High,"$5,000",1
263,1,Female,30,Asian,None stated,Canadian,"$60,000",Fair,Less than 1 year,High,"$5,000",0
264,1,Male,55,White,Mental health history,Indian,"$140,000",Good,2-5 years,Moderate,"$30,000",1
265,1,Non-binary,55,White,None stated,German,"$35,000",Excellent,6+ years,High,"$30,000",0
266,1,Male,55,Black,Mental health history,Mexican,"$60,000",Fair,6+ years,Moderate,"$5,000",1
267,1,Male,40,Black,None stated,Indian,"$140,000",Fair,Less than 1 year,Low,"$5,000",1
268,1,Female,45,Black,None stated,Mexican,"$35,000",Excellent,2-5 years,Moderate,"$5,000",1
269,1,Male,40,Asian,Physical disability,German,"$95,000",Fair,Less than 1 year,Moderate,"$15,000",0
270,1,Non-binary,35,White,Mental health history,Mexican,"$35,000",Good,Less than 1 year,High,"$5,000",0
271,1,Non-binary,45,Hispanic,Mental health history,American,"$140,000",Fair,2-5 years,Moderate,"$15,000",1
272,1,Male,35,Hispanic,Mental health history,German,"$140,000",Fair,Less than 1 year,High,"$15,000",0
273,1,Male,45,Hispanic,Mental health history,American,"$60,000",Excellent,2-5 years,High,"$5,000",0
274,1,Female,35,Asian,Mental health history,Canadian,"$140,000",Excellent,6+ years,Low,"$5,000",1
275,1,Male,30,Black,Physical disability,American,"$60,000",Good,6+ years,High,"$5,000",1
