"observation_id","scenario","profile","gender","age","race","education","field_of_study","cover_letter","grades","experience","religion","chosen"
21,"choose","A","Male",20,"Asian","Associate Degree","Somewhat related","Unpersonalized","Average","yes","Muslim",0
22,"choose","A","Female",30,"Black","Master Degree","Somewhat related","Unpersonalized","Above average","yes","Christian",0
23,"choose","A","Male",40,"Hispanic","Master Degree","Unrelated","Personalized","Average","yes","Christian",1
24,"choose","A","Male",20,"Asian","Master Degree","Closely related","Unpersonalized","Above average","yes","Jewish",1
25,"choose","A","Male",40,"Asian","Master Degree","Closely related","Personalized","Below average","yes","Muslim",1
26,"choose","A","Male",50,"Asian","Bachelor Degree","Closely related","Personalized","Below average","yes","Hindu",1
27,"choose","A","Male",20,"White","Bachelor Degree","Closely related","Unpersonalized","Average","no","Jewish",0
28,"choose","A","Male",40,"Asian","Bachelor Degree","Closely related","Unpersonalized","Below average","no","Christian",1
29,"choose","A","Male",30,"Hispanic","Associate Degree","Closely related","Unpersonalized","Average","no","Hindu",0
30,"choose","A","Male",60,"White","Master Degree","Unrelated","Unpersonalized","Below average","no","Christian",0
31,"choose","A","Female",50,"Hispanic","Associate Degree","Somewhat related","Personalized","Above average","no","Muslim",0
32,"choose","A","Male",20,"Hispanic","Associate Degree","Closely related","Personalized","Average","no","Hindu",0
33,"choose","A","Male",20,"Asian","Bachelor Degree","Closely related","Unpersonalized","Average","no","Jewish",0
34,"choose","A","Male",60,"Hispanic","Associate Degree","Somewhat related","Unpersonalized","Average","yes","Jewish",1
35,"choose","A","Female",60,"Asian","Associate Degree","Closely related","Unpersonalized","Above average","no","Christian",0
36,"choose","A","Female",50,"White","Master Degree","Somewhat related","Personalized","Average","no","Christian",0
37,"choose","A","Male",60,"Asian","Master Degree","Closely related","Unpersonalized","Below average","no","Muslim",0
38,"choose","A","Male",50,"Asian","Master Degree","Unrelated","Unpersonalized","Below average","no","Hindu",0
39,"choose","A","Female",30,"White","Master Degree","Somewhat related","Personalized","Above average","yes","Muslim",1
40,"choose","A","Female",20,"White","Master Degree","Unrelated","Personalized","Above average","no","Muslim",0
41,"choose","A","Male",20,"Asian","Associate Degree","Somewhat related","Personalized","Below average","no","Hindu",0
42,"choose","A","Male",30,"Asian","Master Degree","Somewhat related","Unpersonalized","Above average","yes","Muslim",1
43,"choose","A","Male",40,"Hispanic","Bachelor Degree","Closely related","Personalized","Average","yes","Hindu",1
44,"choose","A","Female",50,"Hispanic","Master Degree","Somewhat related","Personalized","Below average","no","Hindu",1
45,"choose","A","Male",50,"Asian","Master Degree","Closely related","Personalized","Above average","no","Christian",1
46,"choose","A","Male",30,"Black","Bachelor Degree","Closely related","Unpersonalized","Average","no","Jewish",0
47,"choose","A","Male",20,"Black","Master Degree","Closely related","Personalized","Below average","yes","Hindu",0
48,"choose","A","Female",30,"White","Bachelor Degree","Closely related","Personalized","Average","yes","Christian",1
49,"choose","A","Male",20,"White","Associate Degree","Somewhat related","Unpersonalized","Average","no","Hindu",0
50,"choose","A","Female",40,"Asian","Bachelor Degree","Unrelated","Personalized","Average","no","Christian",0
51,"choose","A","Female",20,"White","Master Degree","Unrelated","Personalized","Below average","yes","Christian",1
52,"choose","A","Male",20,"Asian","Master Degree","Closely related","Unpersonalized","Below average","yes","Muslim",0
53,"choose","A","Male",40,"White","Bachelor Degree","Closely related","Unpersonalized","Average","yes","Muslim",1
54,"choose","A","Female",20,"White","Bachelor Degree","Unrelated","Personalized","Below average","yes","Jewish",0
55,"choose","A","Female",40,"Hispanic","Bachelor Degree","Closely related","Unpersonalized","Average","no","Hindu",1
56,"choose","A","Male",50,"White","Bachelor Degree","Somewhat related","Personalized","Average","yes","Jewish",0
57,"choose","A","Female",60,"White","Associate Degree","Closely related","Personalized","Below average","no","Jewish",0
58,"choose","A","Male",60,"White","Associate Degree","Unrelated","Personalized","Below average","yes","Muslim",0
59,"choose","A","Male",20,"Asian","Master Degree","Unrelated","Unpersonalized","Below average","yes","Christian",0
60,"choose","A","Male",30,"White","Associate Degree","Somewhat related","Personalized","Average","yes","Christian",1
61,"choose","A","Female",50,"Black","Master Degree","Unrelated","Unpersonalized","Average","no","Hindu",0
62,"choose","A","Male",40,"Black","Associate Degree","Closely related","Personalized","Above average","no","Christian",0
63,"choose","A","Female",20,"Hispanic","Master Degree","Somewhat related","Unpersonalized","Average","no","Christian",0
64,"choose","A","Male",60,"White","Associate Degree","Closely related","Personalized","Below average","yes","Christian",0
65,"choose","A","Male",50,"Asian","Master Degree","Somewhat related","Personalized","Below average","yes","Hindu",1
66,"choose","A","Male",40,"Black","Associate Degree","Unrelated","Unpersonalized","Below average","yes","Muslim",0
67,"choose","A","Female",50,"Black","Master Degree","Closely related","Personalized","Average","no","Hindu",1
68,"choose","A","Male",50,"Hispanic","Bachelor Degree","Closely related","Personalized","Average","no","Hindu",0
69,"choose","A","Female",20,"Hispanic","Bachelor Degree","Closely related","Unpersonalized","Below average","yes","Muslim",0
70,"choose","A","Male",20,"White","Associate Degree","Unrelated","Personalized","Average","no","Christian",0
71,"choose","A","Male",20,"Asian","Master Degree","Closely related","Unpersonalized","Below average","yes","Muslim",0
72,"choose","A","Female",20,"Asian","Master Degree","Unrelated","Personalized","Below average","no","Christian",0
73,"choose","A","Male",30,"White","Bachelor Degree","Unrelated","Unpersonalized","Below average","yes","Hindu",0
74,"choose","A","Female",60,"White","Associate Degree","Unrelated","Personalized","Average","no","Jewish",0
75,"choose","A","Male",50,"Hispanic","Bachelor Degree","Somewhat related","Personalized","Below average","yes","Jewish",0
76,"choose","A","Female",40,"Black","Associate Degree","Unrelated","Unpersonalized","Average","no","Hindu",0
77,"choose","A","Male",20,"Hispanic","Master Degree","Unrelated","Personalized","Above average","no","Christian",0
78,"choose","A","Male",20,"White","Master Degree","Somewhat related","Personalized","Above average","yes","Jewish",1
79,"choose","A","Female",20,"Black","Master Degree","Unrelated","Personalized","Average","yes","Muslim",1
80,"choose","A","Female",40,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Below average","yes","Muslim",1
81,"choose","A","Female",30,"Black","Master Degree","Unrelated","Personalized","Average","no","Jewish",0
82,"choose","A","Male",20,"White","Associate Degree","Closely related","Unpersonalized","Above average","no","Muslim",0
83,"choose","A","Male",40,"Asian","Associate Degree","Somewhat related","Unpersonalized","Above average","yes","Jewish",0
84,"choose","A","Female",20,"White","Master Degree","Closely related","Unpersonalized","Above average","no","Jewish",0
85,"choose","A","Male",30,"Hispanic","Associate Degree","Closely related","Unpersonalized","Above average","no","Muslim",0
86,"choose","A","Male",40,"White","Master Degree","Somewhat related","Unpersonalized","Below average","no","Hindu",0
87,"choose","A","Female",60,"Hispanic","Bachelor Degree","Somewhat related","Personalized","Average","no","Muslim",1
88,"choose","A","Female",50,"White","Master Degree","Somewhat related","Unpersonalized","Average","yes","Muslim",1
89,"choose","A","Female",60,"Black","Associate Degree","Somewhat related","Unpersonalized","Average","no","Hindu",0
90,"choose","A","Female",60,"Asian","Master Degree","Somewhat related","Unpersonalized","Below average","no","Christian",0
91,"choose","A","Male",40,"Hispanic","Bachelor Degree","Somewhat related","Unpersonalized","Above average","yes","Muslim",1
92,"choose","A","Female",50,"Black","Master Degree","Somewhat related","Unpersonalized","Above average","no","Hindu",0
93,"choose","A","Male",20,"White","Master Degree","Unrelated","Personalized","Above average","yes","Hindu",0
94,"choose","A","Female",60,"White","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Muslim",0
95,"choose","A","Female",40,"Hispanic","Bachelor Degree","Closely related","Unpersonalized","Below average","no","Jewish",0
96,"choose","A","Female",40,"Black","Master Degree","Unrelated","Unpersonalized","Above average","yes","Jewish",1
97,"choose","A","Female",60,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Below average","no","Muslim",0
98,"choose","A","Female",30,"Asian","Bachelor Degree","Unrelated","Unpersonalized","Average","no","Christian",0
99,"choose","A","Male",20,"White","Bachelor Degree","Unrelated","Unpersonalized","Above average","no","Christian",1
100,"choose","A","Male",40,"White","Associate Degree","Unrelated","Personalized","Above average","no","Hindu",1
101,"choose","A","Male",40,"Hispanic","Associate Degree","Unrelated","Unpersonalized","Average","no","Hindu",0
102,"choose","A","Female",50,"Asian","Associate Degree","Closely related","Unpersonalized","Above average","no","Muslim",0
103,"choose","A","Male",50,"Hispanic","Master Degree","Closely related","Personalized","Average","no","Hindu",0
104,"choose","A","Female",40,"White","Associate Degree","Somewhat related","Personalized","Below average","no","Muslim",1
105,"choose","A","Female",20,"White","Master Degree","Somewhat related","Unpersonalized","Below average","no","Jewish",0
106,"choose","A","Male",40,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Muslim",1
107,"choose","A","Male",40,"Hispanic","Bachelor Degree","Unrelated","Personalized","Below average","no","Hindu",0
108,"choose","A","Female",60,"Asian","Associate Degree","Closely related","Personalized","Above average","yes","Muslim",1
109,"choose","A","Male",50,"Hispanic","Associate Degree","Unrelated","Personalized","Average","yes","Hindu",0
110,"choose","A","Female",50,"White","Bachelor Degree","Unrelated","Unpersonalized","Below average","yes","Hindu",0
111,"choose","A","Female",30,"Asian","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Jewish",1
112,"choose","A","Male",60,"Asian","Master Degree","Somewhat related","Personalized","Below average","no","Christian",0
113,"choose","A","Male",40,"Hispanic","Master Degree","Somewhat related","Personalized","Above average","yes","Christian",1
114,"choose","A","Female",40,"White","Master Degree","Closely related","Personalized","Below average","no","Muslim",0
115,"choose","A","Female",50,"White","Associate Degree","Unrelated","Unpersonalized","Above average","no","Jewish",0
116,"choose","A","Female",40,"Black","Master Degree","Unrelated","Personalized","Below average","yes","Hindu",1
117,"choose","A","Male",40,"Black","Master Degree","Closely related","Unpersonalized","Below average","no","Jewish",0
118,"choose","A","Male",40,"Hispanic","Associate Degree","Closely related","Unpersonalized","Above average","no","Hindu",0
119,"choose","A","Male",60,"Black","Bachelor Degree","Somewhat related","Personalized","Above average","yes","Christian",1
120,"choose","A","Male",40,"Black","Bachelor Degree","Unrelated","Unpersonalized","Above average","no","Christian",0
121,"choose","A","Female",40,"Black","Associate Degree","Closely related","Unpersonalized","Average","no","Muslim",0
122,"choose","A","Female",20,"Black","Bachelor Degree","Somewhat related","Personalized","Above average","no","Jewish",1
123,"choose","A","Male",40,"Black","Associate Degree","Closely related","Unpersonalized","Average","yes","Christian",0
124,"choose","A","Female",40,"Black","Associate Degree","Unrelated","Personalized","Average","yes","Hindu",1
125,"choose","A","Male",50,"Hispanic","Master Degree","Somewhat related","Personalized","Below average","yes","Christian",1
126,"choose","A","Female",30,"Asian","Bachelor Degree","Closely related","Unpersonalized","Above average","no","Hindu",1
127,"choose","A","Male",20,"Black","Bachelor Degree","Unrelated","Personalized","Average","yes","Hindu",0
128,"choose","A","Female",60,"White","Bachelor Degree","Somewhat related","Unpersonalized","Above average","yes","Hindu",1
129,"choose","A","Female",40,"White","Master Degree","Unrelated","Unpersonalized","Above average","no","Christian",0
130,"choose","A","Male",50,"Asian","Associate Degree","Somewhat related","Personalized","Above average","yes","Christian",1
131,"choose","A","Male",40,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Above average","no","Hindu",0
132,"choose","A","Male",30,"Asian","Bachelor Degree","Closely related","Unpersonalized","Below average","no","Jewish",0
133,"choose","A","Female",60,"Hispanic","Associate Degree","Closely related","Unpersonalized","Above average","yes","Muslim",1
134,"choose","A","Female",60,"Black","Master Degree","Unrelated","Unpersonalized","Above average","no","Christian",0
135,"choose","A","Female",30,"Hispanic","Master Degree","Somewhat related","Personalized","Average","yes","Jewish",1
136,"choose","A","Male",50,"White","Master Degree","Somewhat related","Personalized","Average","yes","Muslim",1
137,"choose","A","Male",20,"Asian","Master Degree","Closely related","Personalized","Average","yes","Hindu",1
138,"choose","A","Male",60,"Black","Bachelor Degree","Unrelated","Unpersonalized","Above average","yes","Muslim",0
139,"choose","A","Male",60,"Black","Master Degree","Somewhat related","Unpersonalized","Above average","no","Christian",0
140,"choose","A","Female",20,"Hispanic","Associate Degree","Somewhat related","Personalized","Above average","no","Muslim",0
141,"choose","A","Male",20,"Hispanic","Bachelor Degree","Unrelated","Personalized","Above average","no","Jewish",0
142,"choose","A","Female",60,"White","Associate Degree","Unrelated","Personalized","Average","yes","Jewish",0
143,"choose","A","Male",50,"Black","Bachelor Degree","Somewhat related","Personalized","Below average","yes","Jewish",0
144,"choose","A","Female",60,"Hispanic","Associate Degree","Closely related","Unpersonalized","Average","yes","Jewish",1
145,"choose","A","Male",60,"Black","Master Degree","Closely related","Personalized","Below average","no","Jewish",0
146,"choose","A","Female",40,"Hispanic","Bachelor Degree","Closely related","Unpersonalized","Above average","yes","Muslim",1
147,"choose","A","Male",50,"Hispanic","Associate Degree","Somewhat related","Unpersonalized","Average","no","Muslim",0
148,"choose","A","Female",40,"Black","Bachelor Degree","Closely related","Personalized","Below average","no","Jewish",0
149,"choose","A","Female",20,"Hispanic","Master Degree","Unrelated","Personalized","Below average","no","Hindu",0
150,"choose","A","Female",30,"Black","Master Degree","Unrelated","Unpersonalized","Above average","yes","Muslim",1
151,"choose","A","Female",20,"Asian","Bachelor Degree","Somewhat related","Unpersonalized","Average","no","Hindu",1
152,"choose","A","Male",20,"White","Master Degree","Unrelated","Unpersonalized","Average","no","Hindu",0
153,"choose","A","Male",20,"Asian","Associate Degree","Closely related","Personalized","Above average","no","Jewish",0
154,"choose","A","Female",40,"Asian","Master Degree","Closely related","Unpersonalized","Average","no","Jewish",0
155,"choose","A","Female",40,"White","Associate Degree","Somewhat related","Personalized","Average","no","Christian",0
156,"choose","A","Female",60,"Hispanic","Bachelor Degree","Somewhat related","Unpersonalized","Above average","yes","Hindu",0
157,"choose","A","Male",20,"Black","Bachelor Degree","Somewhat related","Personalized","Above average","no","Jewish",0
158,"choose","A","Female",20,"Black","Bachelor Degree","Unrelated","Personalized","Below average","yes","Hindu",0
159,"choose","A","Female",50,"White","Bachelor Degree","Unrelated","Unpersonalized","Below average","yes","Christian",0
160,"choose","A","Male",20,"Black","Associate Degree","Unrelated","Personalized","Average","no","Hindu",0
161,"choose","A","Female",30,"Asian","Bachelor Degree","Closely related","Unpersonalized","Above average","no","Jewish",0
162,"choose","A","Female",30,"Hispanic","Associate Degree","Somewhat related","Personalized","Above average","yes","Muslim",1
163,"choose","A","Female",50,"White","Bachelor Degree","Somewhat related","Personalized","Above average","yes","Muslim",1
164,"choose","A","Female",50,"Hispanic","Associate Degree","Unrelated","Personalized","Above average","yes","Muslim",1
165,"choose","A","Male",20,"Asian","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Christian",1
166,"choose","A","Male",40,"Hispanic","Associate Degree","Somewhat related","Unpersonalized","Above average","no","Hindu",0
167,"choose","A","Female",60,"Asian","Master Degree","Closely related","Personalized","Below average","yes","Christian",1
168,"choose","A","Male",60,"Black","Bachelor Degree","Closely related","Unpersonalized","Average","no","Hindu",0
169,"choose","A","Male",50,"Asian","Bachelor Degree","Somewhat related","Unpersonalized","Average","no","Jewish",1
170,"choose","A","Female",50,"Black","Associate Degree","Somewhat related","Personalized","Below average","no","Muslim",0
171,"choose","A","Male",40,"Black","Master Degree","Closely related","Personalized","Below average","no","Christian",0
172,"choose","A","Male",50,"Hispanic","Master Degree","Somewhat related","Unpersonalized","Above average","no","Muslim",0
173,"choose","A","Female",20,"Black","Bachelor Degree","Somewhat related","Personalized","Below average","no","Hindu",0
174,"choose","A","Male",50,"Asian","Associate Degree","Closely related","Unpersonalized","Average","yes","Hindu",0
175,"choose","A","Male",30,"Asian","Bachelor Degree","Unrelated","Personalized","Average","no","Jewish",0
176,"choose","A","Female",50,"Asian","Master Degree","Closely related","Unpersonalized","Above average","no","Hindu",0
177,"choose","A","Male",40,"Hispanic","Master Degree","Somewhat related","Unpersonalized","Average","no","Muslim",0
178,"choose","A","Female",30,"Black","Master Degree","Somewhat related","Unpersonalized","Average","yes","Jewish",0
179,"choose","A","Female",20,"Asian","Master Degree","Somewhat related","Unpersonalized","Above average","no","Muslim",0
180,"choose","A","Female",60,"White","Bachelor Degree","Closely related","Unpersonalized","Above average","no","Muslim",0
181,"choose","A","Male",30,"Asian","Bachelor Degree","Unrelated","Personalized","Above average","no","Hindu",0
182,"choose","A","Male",30,"Asian","Bachelor Degree","Closely related","Personalized","Below average","no","Christian",0
183,"choose","A","Female",60,"White","Associate Degree","Unrelated","Personalized","Average","no","Christian",1
184,"choose","A","Female",30,"Black","Associate Degree","Unrelated","Unpersonalized","Average","no","Muslim",0
185,"choose","A","Female",20,"Black","Master Degree","Closely related","Personalized","Average","no","Jewish",0
186,"choose","A","Male",20,"Hispanic","Associate Degree","Closely related","Personalized","Average","yes","Jewish",0
187,"choose","A","Female",20,"Hispanic","Associate Degree","Closely related","Personalized","Below average","no","Muslim",0
188,"choose","A","Male",30,"Hispanic","Master Degree","Somewhat related","Unpersonalized","Below average","yes","Hindu",1
189,"choose","A","Female",60,"Black","Associate Degree","Unrelated","Unpersonalized","Above average","yes","Jewish",1
190,"choose","A","Male",30,"Hispanic","Bachelor Degree","Unrelated","Unpersonalized","Average","yes","Hindu",1
191,"choose","A","Male",30,"White","Master Degree","Closely related","Personalized","Average","yes","Christian",1
192,"choose","A","Male",40,"White","Bachelor Degree","Closely related","Unpersonalized","Below average","yes","Hindu",0
193,"choose","A","Male",20,"Hispanic","Bachelor Degree","Unrelated","Personalized","Above average","yes","Hindu",1
194,"choose","A","Female",40,"Asian","Bachelor Degree","Somewhat related","Unpersonalized","Above average","yes","Jewish",1
195,"choose","A","Male",40,"Asian","Associate Degree","Closely related","Personalized","Below average","no","Christian",0
196,"choose","A","Female",20,"Black","Bachelor Degree","Closely related","Personalized","Average","yes","Jewish",1
197,"choose","A","Female",60,"Black","Master Degree","Unrelated","Personalized","Below average","no","Christian",0
198,"choose","A","Male",30,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Above average","no","Muslim",1
199,"choose","A","Male",20,"White","Bachelor Degree","Closely related","Personalized","Above average","yes","Hindu",0
200,"choose","A","Female",50,"White","Associate Degree","Closely related","Personalized","Average","yes","Christian",1
201,"choose","A","Male",20,"White","Associate Degree","Somewhat related","Personalized","Below average","no","Christian",0
202,"choose","A","Male",50,"Asian","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Hindu",0
203,"choose","A","Female",30,"White","Bachelor Degree","Closely related","Unpersonalized","Below average","yes","Christian",1
204,"choose","A","Female",40,"Asian","Bachelor Degree","Unrelated","Unpersonalized","Above average","yes","Hindu",1
205,"choose","A","Female",60,"White","Master Degree","Closely related","Unpersonalized","Below average","yes","Jewish",0
206,"choose","A","Female",30,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Hindu",1
207,"choose","A","Male",30,"Asian","Associate Degree","Closely related","Unpersonalized","Above average","no","Hindu",1
208,"choose","A","Female",40,"Asian","Bachelor Degree","Somewhat related","Unpersonalized","Above average","no","Jewish",0
209,"choose","A","Male",40,"Asian","Master Degree","Somewhat related","Personalized","Average","yes","Hindu",1
210,"choose","A","Male",20,"Hispanic","Bachelor Degree","Closely related","Personalized","Average","no","Jewish",0
211,"choose","A","Female",50,"White","Bachelor Degree","Closely related","Personalized","Average","yes","Jewish",1
212,"choose","A","Male",30,"White","Associate Degree","Unrelated","Personalized","Above average","no","Hindu",0
213,"choose","A","Male",50,"Black","Associate Degree","Somewhat related","Unpersonalized","Above average","yes","Hindu",1
214,"choose","A","Female",60,"Hispanic","Master Degree","Closely related","Personalized","Average","no","Jewish",1
215,"choose","A","Male",30,"Black","Master Degree","Closely related","Personalized","Below average","yes","Jewish",1
216,"choose","A","Female",30,"Black","Master Degree","Unrelated","Unpersonalized","Above average","yes","Jewish",0
217,"choose","A","Female",20,"Hispanic","Master Degree","Unrelated","Personalized","Below average","yes","Christian",1
218,"choose","A","Female",50,"Hispanic","Bachelor Degree","Somewhat related","Unpersonalized","Above average","no","Christian",1
219,"choose","A","Male",60,"Asian","Bachelor Degree","Closely related","Personalized","Below average","no","Christian",0
220,"choose","A","Male",40,"Black","Bachelor Degree","Somewhat related","Unpersonalized","Below average","yes","Christian",0
221,"choose","A","Male",40,"Black","Master Degree","Somewhat related","Unpersonalized","Above average","yes","Jewish",0
222,"choose","A","Female",30,"White","Bachelor Degree","Closely related","Personalized","Average","yes","Hindu",1
223,"choose","A","Male",40,"Hispanic","Master Degree","Unrelated","Unpersonalized","Below average","yes","Muslim",1
224,"choose","A","Female",40,"Asian","Master Degree","Unrelated","Unpersonalized","Average","yes","Hindu",1
225,"choose","A","Female",40,"Asian","Bachelor Degree","Closely related","Unpersonalized","Below average","no","Muslim",0
226,"choose","A","Male",40,"White","Master Degree","Unrelated","Unpersonalized","Below average","yes","Hindu",1
227,"choose","A","Male",20,"White","Bachelor Degree","Unrelated","Personalized","Average","yes","Christian",0
228,"choose","A","Female",30,"Asian","Bachelor Degree","Unrelated","Personalized","Average","yes","Christian",1
229,"choose","A","Female",20,"White","Bachelor Degree","Somewhat related","Unpersonalized","Below average","no","Christian",0
230,"choose","A","Female",40,"Hispanic","Associate Degree","Unrelated","Personalized","Above average","yes","Jewish",1
231,"choose","A","Female",50,"White","Master Degree","Somewhat related","Personalized","Average","no","Muslim",0
232,"choose","A","Female",30,"White","Associate Degree","Somewhat related","Unpersonalized","Above average","no","Muslim",0
233,"choose","A","Female",40,"Black","Associate Degree","Unrelated","Personalized","Below average","no","Jewish",0
234,"choose","A","Male",30,"White","Bachelor Degree","Unrelated","Personalized","Average","no","Christian",1
235,"choose","A","Female",20,"Hispanic","Master Degree","Somewhat related","Personalized","Above average","no","Christian",1
236,"choose","A","Female",40,"Black","Associate Degree","Somewhat related","Personalized","Above average","yes","Jewish",1
237,"choose","A","Female",30,"Asian","Bachelor Degree","Closely related","Unpersonalized","Below average","no","Christian",0
238,"choose","A","Female",20,"Asian","Associate Degree","Closely related","Personalized","Average","yes","Christian",0
239,"choose","A","Female",40,"White","Bachelor Degree","Somewhat related","Unpersonalized","Average","no","Hindu",0
240,"choose","A","Male",40,"White","Bachelor Degree","Somewhat related","Unpersonalized","Above average","yes","Christian",1
241,"choose","A","Female",20,"White","Master Degree","Closely related","Personalized","Above average","yes","Jewish",1
242,"choose","A","Male",60,"Asian","Master Degree","Unrelated","Unpersonalized","Below average","no","Christian",0
243,"choose","A","Female",60,"Asian","Bachelor Degree","Closely related","Unpersonalized","Below average","no","Muslim",0
244,"choose","A","Male",30,"Black","Master Degree","Somewhat related","Unpersonalized","Above average","no","Christian",0
245,"choose","A","Female",30,"Asian","Associate Degree","Unrelated","Unpersonalized","Above average","yes","Muslim",1
246,"choose","A","Male",50,"White","Associate Degree","Somewhat related","Unpersonalized","Above average","no","Jewish",0
247,"choose","A","Male",50,"Asian","Associate Degree","Unrelated","Personalized","Above average","yes","Christian",1
248,"choose","A","Female",60,"White","Bachelor Degree","Unrelated","Unpersonalized","Above average","no","Jewish",0
249,"choose","A","Male",20,"White","Associate Degree","Unrelated","Personalized","Average","yes","Christian",1
250,"choose","A","Male",20,"White","Bachelor Degree","Closely related","Personalized","Below average","yes","Muslim",0
251,"choose","A","Female",50,"Asian","Associate Degree","Closely related","Unpersonalized","Above average","no","Muslim",0
252,"choose","A","Male",20,"White","Associate Degree","Closely related","Personalized","Average","yes","Hindu",0
253,"choose","A","Male",20,"Hispanic","Associate Degree","Closely related","Unpersonalized","Average","no","Hindu",0
254,"choose","A","Male",50,"Asian","Bachelor Degree","Somewhat related","Personalized","Below average","yes","Christian",0
255,"choose","A","Male",40,"White","Master Degree","Closely related","Unpersonalized","Above average","yes","Muslim",0
256,"choose","A","Male",50,"Asian","Bachelor Degree","Unrelated","Unpersonalized","Below average","yes","Hindu",1
257,"choose","A","Male",30,"Black","Associate Degree","Unrelated","Unpersonalized","Below average","no","Muslim",0
258,"choose","A","Female",30,"Asian","Associate Degree","Somewhat related","Unpersonalized","Average","yes","Jewish",0
259,"choose","A","Female",30,"Hispanic","Master Degree","Unrelated","Unpersonalized","Average","yes","Jewish",1
260,"choose","A","Female",40,"Black","Associate Degree","Somewhat related","Personalized","Above average","no","Jewish",0
261,"choose","A","Male",40,"Black","Master Degree","Unrelated","Personalized","Below average","yes","Christian",1
262,"choose","A","Male",40,"Asian","Associate Degree","Unrelated","Personalized","Average","yes","Christian",0
263,"choose","A","Female",50,"White","Bachelor Degree","Somewhat related","Unpersonalized","Average","yes","Muslim",0
264,"choose","A","Female",50,"White","Master Degree","Somewhat related","Personalized","Below average","no","Muslim",0
265,"choose","A","Male",60,"Black","Bachelor Degree","Unrelated","Unpersonalized","Average","yes","Hindu",0
266,"choose","A","Female",40,"White","Master Degree","Somewhat related","Personalized","Average","no","Jewish",0
267,"choose","A","Male",60,"Asian","Bachelor Degree","Closely related","Personalized","Above average","yes","Hindu",1
268,"choose","A","Female",40,"Hispanic","Associate Degree","Unrelated","Personalized","Above average","no","Christian",0
269,"choose","A","Male",60,"Asian","Bachelor Degree","Unrelated","Personalized","Above average","yes","Jewish",1
270,"choose","A","Male",50,"Hispanic","Bachelor Degree","Closely related","Unpersonalized","Average","no","Christian",0
271,"choose","A","Female",20,"Hispanic","Bachelor Degree","Closely related","Unpersonalized","Average","no","Muslim",0
272,"choose","A","Male",60,"Hispanic","Bachelor Degree","Unrelated","Unpersonalized","Below average","yes","Hindu",0
273,"choose","A","Male",30,"White","Master Degree","Unrelated","Unpersonalized","Below average","yes","Jewish",1
274,"choose","A","Female",40,"Black","Associate Degree","Somewhat related","Personalized","Above average","yes","Muslim",1
275,"choose","A","Male",60,"White","Bachelor Degree","Closely related","Unpersonalized","Average","no","Muslim",1
